Title,PMID,Authors,Affiliations,Abstract,Journal,Grants_and_Funding,Conflict_of_Interest,Impact_Factor,Mesh Terms,MeSH Term Descriptor IDs,Total Affiliations,Total Authors,Pub Type
Combining Treg Therapy With Donor Bone Marrow Transplantation: Experimental Progress and Clinical Perspective.,37789519,"Anna Marianne Weijler,Thomas Wekerle","Division of Transplantation, Department of General Surgery, Medical University of Vienna, Vienna, Austria.","Donor-specific tolerance remains a goal in transplantation because it could improve graft survival and reduce morbidity. Cotransplantation of donor hematopoietic cells to achieve chimerism is a promising approach for tolerance induction, which was successfully tested in clinical trials. However, current protocols are associated with side effects related to the myelosuppressive recipient conditioning, which makes it difficult to introduce them as standard therapy. More recently, adoptive cell therapy with polyclonal or donor-specific regulatory T cells (Treg) proved safe and feasible in several transplant trials, but it is unclear whether it can induce tolerance on its own. The combination of both approaches-Treg therapy and hematopoietic cell transplantation-leads to chimerism and tolerance without myelosuppressive treatment in murine models. Treg therapy promotes engraftment of allogeneic hematopoietic cells, reducing conditioning requirements and enhancing regulatory mechanisms maintaining tolerance. This review discusses possible modes of action of transferred Treg in experimental chimerism models and describes translational efforts investigating the potent synergy of Treg and chimerism.",Transplantation,LS18-031//Vienna Science and Technology Fund (WWTF)/ 22225//Scientific Fund of the Mayor of Vienna/ ,T.W. received speaker’s honoraria from eGenesis and Mallinckrodt/Therakos and is a DSMB member for Quell Therapeutics. The other author declares no conflicts of interest.,6.2,"T-Lymphocytes, Regulatory,Animals,Humans,Bone Marrow Transplantation,Transplantation Tolerance,Transplantation Chimera,Graft Survival,Adoptive Transfer,Hematopoietic Stem Cell Transplantation,Transplantation Conditioning,Treatment Outcome","D050378,D000818,D006801,D016026,D023001,D018183,D006085,D019264,D018380,D019172,D016896",1,2,"Journal Article,Review,Research Support, Non-U.S. Gov't"
The Conundrum of Patients With Compensated Cirrhosis Requiring Kidney Transplantation; Kidney Alone or Simultaneous Liver Kidney Transplantation.,36194998,"Jennifer L Dodge,Brian T Lee,Ali Casey Z Kassem,Scott W Biggins,Prachi A Rana,Mitra K Nadim,Sumeet K Asrani,Tse-Ling Fong","Division of Gastrointestinal and Liver Diseases, Keck School of Medicine, University of Southern California, Los Angeles, CA.////Division of Gastroenterology, Department of Medicine, Loma Linda University Health, Loma Linda, CA.////Division of Hepatology, Baylor University Medical Center, Dallas, TX.////Division of Gastroenterology, Department of Medicine, University of Washington, Seattle, WA.////Division of Nephrology and Hypertension, Keck School of Medicine, University of Southern California, Los Angeles, CA.","Patients with compensated cirrhosis and chronic kidney disease are increasing along with demand for simultaneous liver kidney transplant (SLKT) and shortages of organs for transplantation. Although these well-compensated patients may not need a liver organ, the alternative of kidney transplant alone (KTA) poses the risk of liver decompensation. Therefore, we aim to characterize outcomes among patients with compensated cirrhosis and chronic kidney disease listed for SLKT or receiving KTA to inform clinical decisions.",Transplantation,P30 DK048522/DK/NIDDK NIH HHS/United States ,The authors declare no conflicts of interest.,6.2,"Child,Humans,Male,Middle Aged,Female,Kidney Transplantation,End Stage Liver Disease,Retrospective Studies,Hepatic Encephalopathy,Ascites,Severity of Illness Index,Kidney,Liver Cirrhosis,Renal Insufficiency, Chronic,Hypertension, Portal","D002648,D006801,D008297,D008875,D005260,D016030,D058625,D012189,D006501,D001201,D012720,D007668,D008103,D051436,D006975",5,8,"Journal Article,Research Support, N.I.H., Extramural"
Lung Transplantation for COVID-19-related Lung Disease: Clinical Experience and Call for a Global Registry.,35969003,"Max M Weder,Saima Aslam,Michael G Ison","Division of Pulmonary and Critical Care Medicine, University of Virginia, Charlottesville, VA.////Division of Infectious Diseases and Global Public Health, University of California San Diego, La Jolla, CA.////Divisions of Infectious Diseases and Organ Transplantation, Northwestern University Feinberg School of Medicine, Chicago, IL.",,Transplantation,UL1 TR001422/TR/NCATS NIH HHS/United States UL1 TR001442/TR/NCATS NIH HHS/United States ,,6.2,"Humans,COVID-19,Lung Transplantation,Heart-Lung Transplantation,Registries,Lung Diseases","D006801,D000086382,D016040,D016041,D012042,D008171",3,3,"Journal Article,Research Support, N.I.H., Extramural"
"Evaluating the Potential for ABO-incompatible Islet Transplantation: Expression of ABH Antigens on Human Pancreata, Isolated Islets, and Embryonic Stem Cell-derived Islets.",36228319,"Kevin Verhoeff,Nerea Cuesta-Gomez,Patrick Albers,Rena Pawlick,Braulio A Marfil-Garza,Ila Jasra,Nidheesh Dadheech,Doug O'Gorman,Tatsuya Kin,Anne Halpin,Lori J West,A M James Shapiro","Alberta Diabetes Institute, University of Alberta, Edmonton, Alberta, Canada.////Department of Surgery, University of Alberta, Edmonton, Alberta, Canada.////Clinical Islet Transplant Program, University of Alberta, Edmonton, Alberta, Canada.////Department of Pediatrics, University of Alberta, Edmonton, Alberta, Canada.","ABO-incompatible transplantation has improved accessibility of kidney, heart, and liver transplantation. Pancreatic islet transplantation continues to be ABO-matched, yet ABH antigen expression within isolated human islets or novel human embryonic stem cell (hESC)-derived islets remain uncharacterized.",Transplantation,,"A.M.J.S. is supported through a Canada Research Chair (Tier 1) in Regenerative Medicine and Transplant Surgery, and through grant support from the Juvenile Diabetes Research Foundation, Diabetes Canada, the Canadian Donation and Transplant Research Program, the Diabetes Research Institute Foundation of Canada, the Alberta Diabetes Foundation, and the Canadian Stem Cell Network. B.A.M.-G. is supported by the Patronato del Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran (INCMNSZ), the Fundacion para la Salud y la Educacion Dr. Salvador Zubirán (FunSaEd), and the CHRISTUS Excellence and Innovation Center. A.M.J.S. serves as a consultant to ViaCyte Inc. The other authors declare no conflicts of interest.",6.2,"Animals,Humans,Rats,Antigens,Diabetes Mellitus, Type 1,Embryonic Stem Cells,Islets of Langerhans,Islets of Langerhans Transplantation,Pancreas,ABO Blood-Group System","D000818,D006801,D051381,D000941,D003922,D053595,D007515,D016381,D010179,D000017",4,12,Journal Article
"Infection, Rejection, and the Connection.",36017937,"Lauren E Higdon,Jane C Tan,Jonathan S Maltzman","Department of Medicine/Nephrology, Stanford University, Palo Alto, CA.","Solid organ transplantation is a life-saving treatment for people with end-stage organ disease. Immune-mediated transplant rejection is a common complication that decreases allograft survival. Although immunosuppression is required to prevent rejection, it also increases the risk of infection. Some infections, such as cytomegalovirus and BK virus, can promote inflammatory gene expression that can further tip the balance toward rejection. BK virus and other infections can induce damage that resembles the clinical pathology of rejection, and this complicates accurate diagnosis. Moreover, T cells specific for viral infection can lead to rejection through heterologous immunity to donor antigen directly mediated by antiviral cells. Thus, viral infections and allograft rejection interact in multiple ways that are important to maintain immunologic homeostasis in solid organ transplant recipients. Better insight into this dynamic interplay will help promote long-term transplant survival.",Transplantation,I01 CX001971/CX/CSRD VA/United States K01 DK123196/DK/NIDDK NIH HHS/United States ,"J.S.M. has honoraria from One Lambda, Inc, and has a family member who is employed by and has an equity interest in Genentech/Roche. J.S.M. is also a member of the scientific advisory board for Qihan. J.C.T. has a family member who is employed by and has an equity interest in Genentech/Roche. The other author declares no conflicts of interest.",6.2,"Humans,Organ Transplantation,Transplantation, Homologous,Immunosuppression Therapy,Graft Rejection,Cytomegalovirus Infections","D006801,D016377,D014184,D007165,D006084,D003586",1,3,"Journal Article,Research Support, U.S. Gov't, Non-P.H.S.,Research Support, N.I.H., Extramural"
Personality Traits in Patients With Cirrhosis Are Different From Those of the General Population and Impact Likelihood of Liver Transplantation.,36173424,"Avesh J Thuluvath,Osama Siddiqui,Jennifer C Lai,John Peipert,Josh Levitsky,Amna Daud,Nikhilesh R Mazumder,Anne-Marie Flores,Daniel Borja-Cacho,Juan C Caicedo,Corinne Loftus,Randi Wong,Dan Mroczek,Daniela P Ladner","Northwestern University Transplant Research Collaborative (NUTORC), Comprehensive Transplant Center (CTC), Feinberg School of Medicine, Northwestern University, Chicago, IL.////Division of Gastroenterology and Hepatology, Department of Medicine, University of California-San Francisco, San Francisco, CA.////Division of Hepatology, Department of Medicine, Northwestern Medicine, Chicago, IL.////Department of Medical Social Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL.","Personality traits influence clinical outcomes in chronic diseases, but their impact in cirrhosis is unknown. We studied the personality of patients with cirrhosis undergoing liver transplant (LT) evaluation and determined their correlation to clinical outcomes.",Transplantation,T32 DK077662/DK/NIDDK NIH HHS/United States ,The authors declare no conflicts of interest.,6.2,"Adult,Humans,Frailty,Liver Transplantation,Prospective Studies,End Stage Liver Disease,Personality Inventory,Severity of Illness Index,Personality,Liver Cirrhosis","D000328,D006801,D000073496,D016031,D011446,D058625,D010555,D012720,D010551,D008103",4,14,"Multicenter Study,Journal Article,Research Support, Non-U.S. Gov't,Research Support, N.I.H., Extramural"
Applying Genomics to Unravel Health Disparities in Organ Transplantation: Paul I. Terasaki State-of-the-art Lecture; American Transplant Congress 2021.,36584376,Hannah A Valantine,"Department of Medicine, Stanford University, Stanford, CA.","An extensive body of research about team science provides empirical evidence that diverse teams outperform homogenous teams in creating more innovative solutions to complex problems. At the core of diverse and inclusive teams is a rich diversity of perspectives, experiences, and backgrounds that invite new questions and broaden the scope of research. Diverse perspectives are especially relevant for biomedicine, which seeks to find solutions for challenging problems affecting the human condition. It is essential that diversity and inclusion in biomedicine is prioritized as a key driver of innovation, both through the people who conduct the research and the science itself. Key questions have been articulated as important drivers for funding research: (1) Who is doing the science and who is building the tools? (2) What science and technology is being done and how? and (3) Who has access to the knowledge and benefits of scientific innovation? I will briefly review the empirical evidence supporting diversity as a powerful enhancer of the quality and outputs of research and clinical care. I offer my own research as a case study of incorporating a framework of diversity, equity, and inclusion into research that uses new emerging genomic tools for earlier and more precise diagnosis of organ transplant rejection. I will demonstrate how these same tools hold great promise for accelerating the discovery of hitherto unexplored mechanisms that drive the poor outcomes for African ancestry organ transplant recipients, which in turn will identify new diagnostics and therapeutic targets that benefit transplant recipients across all ancestries.",Transplantation,,,6.2,"Humans,United States,Organ Transplantation,Genomics","D006801,D014481,D016377,D023281",1,1,Journal Article
Normothermic Machine Perfusion Systems: Where Do We Go From Here?,37026713,"Sara López-Martínez,Carlos Simón,Xavier Santamaria","Carlos Simon Foundation, Centro de Investigación Príncipe Felipe, Valencia, Spain.","Normothermic machine perfusion (NMP) aims to preserve organs ex vivo by simulating physiological conditions such as body temperature. Recent advancements in NMP system design have prompted the development of clinically effective devices for liver, heart, lung, and kidney transplantation that preserve organs for several hours/up to 1 d. In preclinical studies, adjustments to circuit structure, perfusate composition, and automatic supervision have extended perfusion times up to 1 wk of preservation. Emerging NMP platforms for ex vivo preservation of the pancreas, intestine, uterus, ovary, and vascularized composite allografts represent exciting prospects. Thus, NMP may become a valuable tool in transplantation and provide significant advantages to biomedical research. This review recaps recent NMP research, including discussions of devices in clinical trials, innovative preclinical systems for extended preservation, and platforms developed for other organs. We will also discuss NMP strategies using a global approach while focusing on technical specifications and preservation times.",Transplantation,,The authors declare no conflicts of interest.,6.2,"Female,Humans,Organ Preservation,Kidney Transplantation,Liver,Perfusion,Liver Transplantation","D005260,D006801,D009926,D016030,D008099,D010477,D016031",1,3,"Review,Journal Article"
Primary Graft Dysfunction in Lung Transplantation: A Review of Mechanisms and Future Applications.,36650643,"Lourdes Chacon-Alberty,Ramiro Fernandez,Peter Jindra,Madelyn King,Ivan Rosas,Camila Hochman-Mendez,Gabriel Loor","Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.////Division of Cardiothoracic Transplantation and Mechanical Circulatory Support, Michael E. DeBakey Department of Surgery, Baylor College of Medicine, Houston, TX.////Department of Medicine, Baylor College of Medicine, Houston, TX.","Lung allograft recipients have worse survival than all other solid organ transplant recipients, largely because of primary graft dysfunction (PGD), a major form of acute lung injury affecting a third of lung recipients within the first 72 h after transplant. PGD is the clinical manifestation of ischemia-reperfusion injury and represents the predominate cause of early morbidity and mortality. Despite PGD's impact on lung transplant outcomes, no targeted therapies are currently available; hence, care remains supportive and largely ineffective. This review focuses on molecular and innate immune mechanisms of ischemia-reperfusion injury leading to PGD. We also discuss novel research aimed at discovering biomarkers that could better predict PGD and potential targeted interventions that may improve outcomes in lung transplantation.",Transplantation,,"The authors report funding from the JLH Foundation. G.L. consults for TransMedics, Inc. and Abiomed and receives grant support at Baylor College of Medicine from TransMedics, Inc., Abiomed, AtriCure, and Abbott. The authors report no other conflicts of interest.",6.2,"Humans,Primary Graft Dysfunction,Risk Factors,Lung Transplantation,Lung,Reperfusion Injury","D006801,D055031,D012307,D016040,D008168,D015427",3,7,"Review,Journal Article,Research Support, Non-U.S. Gov't"
The Molecular Phenotype of Kidney Transplants: Insights From the MMDx Project.,37310258,"Philip F Halloran,Katelynn S Madill-Thomsen,Jeff Reeve","University of Alberta, Edmonton, AB, Canada.","This review outlines the molecular disease states in kidney transplant biopsies as documented in the development of the Molecular Microscope Diagnostic System (MMDx). These states include T cell-mediated rejection (TCMR), antibody-mediated rejection (AMR), recent parenchymal injury, and irreversible atrophy-fibrosis. The MMDx project, initiated through a Genome Canada grant, is a collaboration involving many centers. MMDx uses genome-wide microarrays to measure transcript expression, interprets the results using ensembles of machine learning algorithms, and generates a report. Experimental studies in mouse models and cell lines were extensively used to annotate molecular features and interpret the biopsy results. Over time, MMDx revealed unexpected aspects of the disease states: for example, AMR is usually C4d-negative and often DSA-negative, and subtle ""Minor"" AMR-like states are frequent. Parenchymal injury correlates with both reduced glomerular filtration rate and increased risk of graft loss. In kidneys with rejection, injury features, not rejection activity, are the strongest predictors of graft survival. Both TCMR and AMR produce injury, but TCMR induces immediate nephron injury and accelerates atrophy-fibrosis, whereas AMR induces microcirculation and glomerular damage that slowly leads to nephron failure and atrophy-fibrosis. Plasma donor-derived cell-free DNA levels correlate strongly with AMR activity, acute kidney injury, and in a complex way with TCMR activity. Thus, the MMDx project has documented the molecular processes that underlie the clinical and histologic states in kidney transplants, and provides a diagnostic tool that can be used to calibrate biomarkers, optimize histology interpretation, and guide clinical trials.",Transplantation,"//This research has been principally supported by grants from Genome Canada, Canada Foundation for Innovation, the University of Alberta Hospital Foundation, the Alberta Ministry of Advanced Education, the Mendez National Institute of Transplantation Foundation, and Industrial Research Assistance Program. Partial support was also provided by funding from a licensing agreement with the One Lambda division of Thermo Fisher. Dr. Halloran held a Canada Research Chair in Transplant Immunology until 2008 and currently holds the Muttart Chair in Clinical Immunology./ ",,6.2,"Animals,Mice,Kidney Transplantation,Kidney,Antibodies,Phenotype,Fibrosis,Atrophy,Graft Rejection,Biopsy","D000818,D051379,D016030,D007668,D000906,D010641,D005355,D001284,D006084,D001706",1,3,"Review,Journal Article"
The Need for Animal Research in the Field of Uterus Transplantation in Males.,37122085,Mats Brännström,"Department of Obstetrics and Gynecology, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.",,Transplantation,,,6.2,"Humans,Male,Female,Animals,Animal Experimentation,Uterus,Infertility, Female","D006801,D008297,D005260,D000818,D032761,D014599,D007247",1,1,"Journal Article,Comment"
Wait Time Advantage for Transplant Candidates With HIV Who Accept Kidneys From Donors With HIV Under the HOPE Act.,38012862,"Jennifer D Motter,Sarah Hussain,Diane M Brown,Sander Florman,Meenakshi M Rana,Rachel Friedman-Moraco,Alexander J Gilbert,Peter Stock,Shikha Mehta,Sapna A Mehta,Valentina Stosor,Nahel Elias,Marcus R Pereira,Ghady Haidar,Maricar Malinis,Michele I Morris,Jonathan Hand,Saima Aslam,Joanna M Schaenman,John Baddley,Catherine B Small,David Wojciechowski,Carlos A Q Santos,Emily A Blumberg,Jonah Odim,Senu K Apewokin,Emmanouil Giorgakis,Mary Grace Bowring,William A Werbel,Niraj M Desai,Aaron A R Tobian,Dorry L Segev,Allan B Massie,Christine M Durand","Department of Surgery, NYU Grossman School of Medicine, New York, NY.////Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD.////Department of Medicine, Icahn School of Medicine at Mount Sinai, New York, NY.////Department of Medicine, Emory University, Atlanta, GA.////Department of Medicine, Medstar Georgetown, Washington, DC.////Department of Medicine, University of California, San Francisco, San Francisco, CA.////Department of Medicine, University of Alabama at Birmingham, Birmingham, AL.////Department of Medicine, NYU Grossman School of Medicine, New York, NY.////Divisions of Infectious Diseases and Organ Transplantation, Northwestern University Feinberg School of Medicine, Chicago, IL.////Department of Surgery, Massachusetts General Hospital, Boston, MA.////Department of Medicine, Columbia University Irving Medical Center, New York, NY.////Department of Medicine, University of Pittsburgh, Pittsburgh, PA.////Department of Medicine, Yale School of Medicine, New Haven, CT.////Department of Medicine, University of Miami Miller School of Medicine, Miami, FL.////Department of Medicine, Ochsner Health, New Orleans, LA.////Department of Medicine, University of California San Diego, La Jolla, CA.////Department of Medicine, Division of Infectious Diseases, David Geffen School of Medicine at UCLA, Los Angeles, CA.////Department of Medicine, University of Maryland School of Medicine, Baltimore, MD.////Department of Medicine/Division of Infectious Diseases, Weill Cornell Medicine, New York, NY.////Department of Medicine, UT Southwestern Medical Center, Dallas, TX.////Department of Medicine, Rush University Medical Center, Chicago, IL.////Department of Medicine, Hospital of the University of Pennsylvania, Philadelphia, PA.////Division of Allergy, Immunology and Transplantation, National Institutes of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD.////Department of Medicine, University of Cincinnati Medical Center, Cincinnati, OH.////Department of Surgery, University of Arkansas for Medical Sciences, Little Rock, AR.////Department of Surgery, Johns Hopkins University School of Medicine, Baltimore, MD.","Kidney transplant (KT) candidates with HIV face higher mortality on the waitlist compared with candidates without HIV. Because the HIV Organ Policy Equity (HOPE) Act has expanded the donor pool to allow donors with HIV (D + ), it is crucial to understand whether this has impacted transplant rates for this population.",Transplantation,T32 GM136577/GM/NIGMS NIH HHS/United States R01 DK132395/DK/NIDDK NIH HHS/United States U01 AI138897/AI/NIAID NIH HHS/United States F30 HL168842/HL/NHLBI NIH HHS/United States K08 CA237735/CA/NCI NIH HHS/United States K24 AI144954/AI/NIAID NIH HHS/United States U01 AI134591/AI/NIAID NIH HHS/United States ,"D.L.S. receives honoraria for AstraZeneca, CareDx, Houston Methodist, Northwell Health, Optum Health Education, Sanofi, and WebMd, as well as consulting fees from AstraZeneca, CareDx, Moderna Therapeutics, Novavax, Regeneron, and Springer Publishing. C.M.D. received honoraria from Gilead Sciences for serving on a grant review committee. V.S. received research grant support from Eli Lilly and Company and consulting fees from DiaSorin SpA. M.P. received grant support from Merck, Hologic, Moderna, Shire/Takeda, and Pfizer, as well as provided consultation to/serves on the advisory board for Rebiotix, Takeda, and Union Therapeutics. C.B.S. has received grants paid to her institution from GlaxoSmithKline, ViiV, Abbott, Merck, Gilead, Chimerix, Shire/Takeda, Schering-Plough, Ablynx, Janssen, Ansun Biopharma, and Karyopharm Therapeutics. G.H. is a recipient of research grants from Allovir, Karius, and AstraZeneca. G.H. serves on the scientific advisory boards of Karius and AstraZeneca and has received honoraria from MDOutlook and MAD-ID/ID Connect. J.H. is a recipient of grants paid to his institution from Pfizer, Janssen, and Scynexis. The other authors declare no conflicts of interest.",6.2,"Humans,Male,Waiting Lists,Kidney,Tissue Donors,Kidney Transplantation,Living Donors,Transplant Recipients,HIV Infections","D006801,D008297,D014850,D007668,D014019,D016030,D019520,D066027,D015658",26,34,Journal Article
Psychometric Properties of the BAASIS: A Meta-analysis of Individual Participant Data.,36949037,"Kris Denhaerynck,Fabienne Dobbels,Barbora Košťálová,Sabina De Geest","Institute of Nursing Science, Department of Public Health, University of Basel, Switzerland.////Academic Centre for Nursing and Midwifery, Department of Public Health and Primary Care, KU Leuven, Leuven, Belgium.////Department of Social and Clinical Pharmacy, Faculty of Pharmacy in Hradec Králové, Charles University, Prague, Czech Republic.","Nonadherence to immunosuppressives, a risk factor for poor posttransplant outcomes, can be assessed by self-report using the Basel Assessment of Adherence to Immunosuppressive Medications Scale (BAASIS). Available in written and interview versions, and previously validated on content, the BAASIS is widely used in research and clinical practice. The aim of this study was to investigate its psychometric properties.",Transplantation,,S.D.G. consults for Sanofi and Novartis—activities unrelated to the current work. The other authors declare no conflicts of interest. The BAASIS is copyright the University of Basel (Switzerland) but is freely available for academic and clinical purposes after registration on the BAASIS website ( https://baasis.nursing.unibas.ch/ ).,6.2,"Adult,Humans,Tacrolimus,Psychometrics,Reproducibility of Results,Immunosuppressive Agents,Self Report,Medication Adherence","D000328,D006801,D016559,D011594,D015203,D007166,D057566,D055118",3,4,"Meta-Analysis,Journal Article,Research Support, Non-U.S. Gov't"
Toward Transplantation of Liver Organoids: From Biology and Ethics to Cost-effective Therapy.,36757819,"Marjolein J M Ten Dam,Geert W J Frederix,Renske M T Ten Ham,Luc J W van der Laan,Kerstin Schneeberger","Department Clinical Sciences, Faculty of Veterinary Medicine, Utrecht University, Utrecht, The Netherlands.////Department of Public Health, Healthcare Innovation and Evaluation and Medical Humanities, Julius Center, Utrecht University, Utrecht, The Netherlands.////Department of Surgery, Erasmus MC-University Medical Center, Rotterdam, The Netherlands.","Liver disease is a common cause of morbidity and mortality, and many patients would benefit from liver transplantation. However, because of a shortage of suitable donor livers, even of those patients who are placed on the donor liver waiting list, many do not survive the waiting time for transplantation. Therefore, alternative treatments for end-stage liver disease need to be explored. Recent advances in organoid technology might serve as a solution to overcome the donor liver shortage in the future. In this overview, we highlight the potential of organoid technology for cell therapy and tissue engineering approaches. Both organoid-based approaches could be used as treatment for end-stage liver disease patients. Additionally, organoid-based cell therapy can also be used to repair liver grafts ex vivo to increase the supply of transplantable liver tissue. The potential of both approaches to become clinically available is carefully assessed, including their clinical, ethical, and economic implications. We provide insight into what aspects should be considered further to allow alternatives to donor liver transplantation to be successfully clinically implemented.",Transplantation,,The authors declare no conflicts of interest.,6.2,"Humans,Liver Transplantation,End Stage Liver Disease,Cost-Benefit Analysis,Living Donors,Liver,Organoids,Biology","D006801,D016031,D058625,D003362,D019520,D008099,D009940,D001695",3,5,"Journal Article,Research Support, Non-U.S. Gov't"
Cutting the Ice in Donor Heart Preservation.,36584367,Peter S Macdonald,"Heart Transplant Unit, St Vincent's Hospital, Darlinghurst, NSW, Australia.",,Transplantation,,,6.2,"Humans,Heart Transplantation,Ice,Tissue Donors,Organ Preservation,Perfusion,Heart,Organ Preservation Solutions","D006801,D016027,D007053,D014019,D009926,D010477,D006321,D019188",1,1,Journal Article
Contribution of Proteomics in Transplantation: Identification of Injury and Rejection Markers.,36814094,"Haseeb Zubair,Shafquat Azim,Daniel G Maluf,Valeria R Mas,Paulo N Martins","Surgical Sciences Division, Department of Surgery, School of Medicine, University of Maryland, Baltimore, MD.////Program in Transplantation, University of Maryland Medical System, Baltimore, MD.////Division of Organ Transplantation, Department of Surgery, University of Massachusetts, UMass Memorial Hospital, University of Massachusetts, Worcester, MA.","Solid organ transplantation saves thousands of lives suffering from end-stage diseases. Although early transplants experienced acute organ injury, medical breakthroughs, such as tissue typing, and use of immunosuppressive agents have considerably improved graft survival. However, the overall incidence of allograft injury and chronic rejection remains high. Often the clinical manifestations of organ injury or rejection are nonspecific and late. Current requirement for successful organ transplantation is the identification of reliable, accurate, disease-specific, noninvasive methods for the early diagnosis of graft injury or rejection. Development of noninvasive techniques is important to allow routine follow-ups without the discomfort and risks associated with a graft biopsy. Multiple biofluids have been successfully tested for the presence of potential proteomic biomarkers; these include serum, plasma, urine, and whole blood. Kidney transplant research has provided significant evidence to the potential of proteomics-based biomarkers for acute and chronic kidney rejection, delayed graft function, early detection of declining allograft health. Multiple proteins have been implicated as biomarkers; however, recent observations implicate the use of similar canonical pathways and biofunctions associated with graft injury/rejection with altered proteins as potential biomarkers. Unfortunately, the current biomarker studies lack high sensitivity and specificity, adding to the complexity of their utility in the clinical space. In this review, we first describe the high-throughput proteomics technologies and then discuss the outcomes of proteomics profiling studies in the transplantation of several organs. Existing literature provides hope that novel biomarkers will emerge from ongoing efforts and guide physicians in delivering specific therapies to prolong graft survival.",Transplantation,,The authors declare no funding or conflicts of interest.,6.2,"Proteomics,Kidney Transplantation,Organ Transplantation,Transplantation, Homologous,Graft Rejection,Biomarkers","D040901,D016030,D016377,D014184,D006084,D015415",3,5,"Review,Journal Article"
Anti-interleukin-6 Antibody Clazakizumab in Antibody-mediated Renal Allograft Rejection: Accumulation of Antibody-neutralized Interleukin-6 Without Signs of Proinflammatory Rebound Phenomena.,35969004,"Anita Borski,Farsad Eskandary,Susanne Haindl,Konstantin Doberer,Jakob Mühlbacher,Katharina A Mayer,Klemens Budde,Philip F Halloran,Edward Chong,Bernd Jilma,Georg A Böhmig,Markus Wahrmann","Division of Nephrology and Dialysis, Department of Medicine III, Medical University of Vienna, Vienna, Austria.////Department of Surgery, Division of Visceral Surgery, Medical University of Vienna, Vienna, Austria.////Department of Nephrology, Charité Universitätsmedizin Berlin, Berlin, Germany.////The Alberta Transplant Applied Genomics Centre, Faculty of Medicine & Dentistry, University of Alberta, Edmonton, AB, Canada.////Vitaeris Inc (acquired by CSL Behring, King of Prussia, PA, USA), Vancouver, BC, Canada.////Department of Clinical Pharmacology, Medical University of Vienna, Vienna, Austria.",Blockade of interleukin-6 (IL-6) has emerged as a promising therapeutic option for antibody-mediated rejection. Subtherapeutic anti-IL-6 antibody level or treatment cessation following prolonged cytokine neutralization may result in proinflammatory rebound phenomena via accumulation of IL-6 and/or modulated gene expression of major components of the IL-6/IL-6 receptor (IL-6R) axis.,Transplantation,,"G.A.B. is a member of the steering committee for an ongoing pivotal phase 3 trial evaluating clazakizumab in chronic active antibody-mediated rejection ( ClinicalTrials.gov number, NCT03744910; sponsored by CSL Behring). E.C. was formerly an employee of Vitaeris Inc, a manufacturer of clazakizumab. The other authors have no conflicts of interest to declare.",6.2,"Interleukin-6,Kidney Transplantation,Antibodies, Monoclonal, Humanized,Allografts,Graft Rejection","D015850,D016030,D061067,D064591,D006084",6,12,"Randomized Controlled Trial,Clinical Trial, Phase II,Journal Article,Research Support, Non-U.S. Gov't"
Are Induced/altered Self-peptide Antigens Responsible for De Novo Autoreactivity in Transplantation?,36706066,"Alexandra F Sharland,Alexandra E Hill,Eric T Son,Katherine E Scull,Nicole A Mifsud,Anthony W Purcell","Central Clinical School, Sydney Medical School, Faculty of Medicine and Health, The University of Sydney, Sydney, NSW, Australia.////Biomedicine Discovery Institute and Department of Biochemistry and Molecular Biology, Monash University, Clayton, VIC, Australia.",,Transplantation,,The authors declare no conflicts of interest.,6.2,"Autoantigens,Liver Transplantation,Peptides","D001324,D016031,D010455",2,6,"Journal Article,Research Support, Non-U.S. Gov't"
Impact of Recipient Age at Liver Transplant on Long-term Outcomes.,36398331,"Shehzad K Niazi,Emily Brennan,Aaron Spaulding,Julia Crook,Shalmali Borkar,Andrew Keaveny,Adriana Vasquez,Melanie T Gentry,Terry Schneekloth,C Burcin Taner","Department of Psychiatry and Psychology, Mayo Clinic, Jacksonville, FL.////Robert D. and Patricia E. Kern Center for the Science of Health Care Delivery, Mayo Clinic, Jacksonville, FL.////Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.////Department of Transplantation, Mayo Clinic, Jacksonville, FL.////Department of Psychiatry & Psychology, Mayo Clinic, Rochester, MN.////Department of Psychiatry & Psychology, Mayo Clinic, Scottsdale, AZ.","The age of a liver transplant (LT) candidate is one of many variables used in the transplant selection process. Most research about the age at transplant has used prespecified age ranges or categories in assessing associations with transplant outcomes. However, there is a lack of knowledge about the age at transplant and survival. This study aimed to examine associations of age at transplant as a continuous variable, in conjunction with other patient and disease-related factors, with patient and graft survival after LT.",Transplantation,,The authors declare no conflicts of interest.,6.2,"Humans,Liver Transplantation,End Stage Liver Disease,Time Factors,Severity of Illness Index,Tissue Donors,Risk Factors,Graft Survival,Retrospective Studies,Transplant Recipients","D006801,D016031,D058625,D013997,D012720,D014019,D012307,D006085,D012189,D066027",6,10,Journal Article
