,Abstract,KIDNEY,TRANSPLANT,BOTH,CATEGORY
15,"While the administration of intravenous fluids remains an important treatment, the negative consequences of subsequent fluid overload have raised questions about when and how clinicians should pursue avenues of fluid removal. Decisions regarding fluid removal during critical illness are complex even for patients with preserved kidney function. This article seeks to apply general concepts of fluid management to the care of patients who also require KRT. Because optimal fluid management for any specific patient is likely to change over the course of critical illness, conceptual models using phases of care have been developed. In this review, we will examine the implications of one such model on the use of ultrafiltration during KRT for volume removal in distributive shock. This will also provide a useful lens to re-examine published data of KRT during critical illness. We will highlight recent prospective trials of KRT as well as recent retrospective studies examining ultrafiltration rate and mortality, review the results, and discuss applications and shortcomings of these studies. We also emphasize that current data and techniques suggest that optimal guidelines will not consist of recommendations for or against absolute fluid removal rates but will instead require the development of dynamic protocols involving frequent cycles of reassessment and adjustment of net fluid removal goals. If optimal fluid management is dynamic, then frequent assessment of fluid responsiveness, fluid toxicity, and tolerance of fluid removal will be needed. Innovations in our ability to assess these parameters may improve our management of ultrafiltration in the future.",Yes,,,"[{'Critical Care in Nephrology': 0.6234377026557922, 'Kidney Transplantation': 0.1720426380634308, 'Cardionephrology': 0.12192325294017792, 'Clinical Research in Nephrology': 0.03143874183297157, 'Pediatric Nephrology': 0.018348755314946175, 'Onconephrology': 0.013583877123892307, 'Glomerular Disease': 0.012474850751459599, 'Blood Purification': 0.00675016175955534}]"
16,"Maintaining normal calcium and phosphate homeostasis is essential for optimal cellular, metabolic, and organ function. Parathyroid hormone, fibroblast growth factor 23, and 1,25-dihydroxyvitamin D regulate calcium and phosphate homeostasis via multiple interlinked feedback loops, receptors, ion channels, and transporters. Following an initial overview of the stimuli and effects of the different hormonal regulators, this installment of AJKD's Core Curriculum in Nephrology reviews the physiology and pathophysiology of calcium and phosphate disorders through the lens of a series of illustrative cases. The cases span clinical conundrums commonly encountered by nephrologists in their daily clinical practice and other less common disorders. Some of the cases present in the outpatient clinic setting and others in the inpatient hospital setting. Patients with normal kidney function, chronic kidney disease, kidney failure, and acute kidney injury are all represented. Some of the disorders are iatrogenic, and some are due to native disease. All demonstrate key aspects of pathophysiology that are essential knowledge for nephrology clinicians of all career stages.",Yes,,,"[{'Pediatric Nephrology': 0.22909370064735413, 'Clinical Research in Nephrology': 0.20003379881381989, 'Cardionephrology': 0.14506235718727112, 'Blood Purification': 0.10332535952329636, 'Glomerular Disease': 0.09673953801393509, 'Kidney Transplantation': 0.09013255685567856, 'Critical Care in Nephrology': 0.06873166561126709, 'Onconephrology': 0.06688112020492554}]"
17,"Catheter-related bloodstream infections (CRBSIs) are one of the most prevalent, fatal, and costly complications of hemodialysis with a central venous catheter (CVC). The LOCK IT-100 trial compared the efficacy and safety of a taurolidine/heparin catheter lock solution that combines taurolidine 13.5 mg/ml and heparin (1000 units/ml) versus heparin in preventing CRBSIs in participants receiving hemodialysis via CVC.",Yes,,,"[{'Critical Care in Nephrology': 0.3874846398830414, 'Cardionephrology': 0.26525506377220154, 'Clinical Research in Nephrology': 0.22927847504615784, 'Blood Purification': 0.057719919830560684, 'Pediatric Nephrology': 0.019853241741657257, 'Kidney Transplantation': 0.019750764593482018, 'Onconephrology': 0.01329402532428503, 'Glomerular Disease': 0.007363901007920504}]"
18,"Shiga toxin-related hemolytic uremic syndrome (STEC-HUS) is a serious condition, characterized by multiorgan thrombotic microangiopathy, mainly affecting children. Renal involvement is severe, with approximately half of patients requiring dialysis. So far, no specific treatment has been proven efficient in STEC-HUS. The use of eculizumab, a monoclonal antibody inhibiting terminal complement complex, has demonstrated remarkable success in atypical hemolytic uremic syndrome, but its use in uncontrolled studies to treat STEC-HUS has yielded inconsistent results. In this Phase 3 randomized, placebo-controlled trial in 100 pediatric patients with STEC-HUS, the findings did not show efficacy of eculizumab during the acute phase of the disease. However, the results indicated a reduction of renal sequelae in eculizumab-treated patients at 1-year follow-up. Larger prospective studies would be needed to further explore eculizumab as a potential treatment.",Yes,,,"[{'Pediatric Nephrology': 0.31381431221961975, 'Clinical Research in Nephrology': 0.24365954101085663, 'Critical Care in Nephrology': 0.13259567320346832, 'Cardionephrology': 0.12179245054721832, 'Onconephrology': 0.1202661320567131, 'Kidney Transplantation': 0.039350222796201706, 'Blood Purification': 0.0208132304251194, 'Glomerular Disease': 0.007708410266786814}]"
19,"Incomplete recovery of kidney function is an important adverse outcome in survivors of critical illness. However, unlike eGFR creatinine, eGFR cystatin C is not confounded by muscle loss and may improve identification of persistent kidney dysfunction.",Yes,,,"[{'Clinical Research in Nephrology': 0.3718903958797455, 'Cardionephrology': 0.2741183638572693, 'Critical Care in Nephrology': 0.17998605966567993, 'Glomerular Disease': 0.0463884063065052, 'Kidney Transplantation': 0.046367887407541275, 'Blood Purification': 0.029780205339193344, 'Pediatric Nephrology': 0.026181399822235107, 'Onconephrology': 0.02528737112879753}]"
20,"Rapid progression of CKD is associated with poor clinical outcomes. Most previous studies looking for genetic factors associated with low eGFR have used cross-sectional data. The authors conducted a meta-analysis of genome-wide association studies of eGFR decline among 116,870 participants with CKD, focusing on longitudinal data. They identified three loci (two of them novel) associated with longitudinal eGFR decline. In addition to the known UMOD/PDILT locus, variants within BICC1 were associated with significant differences in longitudinal eGFR slope. Variants within HEATR4 also were associated with differences in eGFR decline, but only among Black/African American individuals without diabetes. These findings help characterize molecular mechanisms of eGFR decline in CKD and may inform new therapeutic approaches for progressive kidney disease.",Yes,,,"[{'Cardionephrology': 0.6905484199523926, 'Pediatric Nephrology': 0.1273612231016159, 'Glomerular Disease': 0.10487537831068039, 'Clinical Research in Nephrology': 0.030468899756669998, 'Kidney Transplantation': 0.01546038594096899, 'Onconephrology': 0.015256693586707115, 'Critical Care in Nephrology': 0.010228587314486504, 'Blood Purification': 0.005800414364784956}]"
21,"Autosomal dominant polycystic kidney disease (ADPKD) is a genetic disorder characterized by kidney cyst formation and progressive kidney function loss. Dietary interventions such as caloric restriction, intermittent fasting, and ketogenic diet have recently emerged as potential strategies to induce metabolic reprogramming and slow ADPKD progression. We review the available evidence supporting the efficacy and safety of these interventions in ADPKD. Dietary interventions show promise in managing ADPKD by improving metabolic health and reducing oxidative stress. However, while preclinical studies have shown favorable outcomes, limited clinical evidence supports their effectiveness. In addition, the long-term consequences of these dietary interventions, including their effect on adverse events in patients with ADPKD, remain uncertain. To optimize ADPKD management, patients are advised to follow a dietary regimen that aims to achieve or maintain an ideal body weight and includes high fluid intake, low sodium, and limited concentrated sweets. Caloric restriction seems particularly beneficial for patients with overweight or obesity because it promotes weight loss and improves metabolic parameters. Supplementation with curcumin, ginkgolide B, saponins, vitamin E, niacinamide, or triptolide has demonstrated uncertain clinical benefit in patients with ADPKD. Notably, β -hydroxybutyrate supplements have shown promise in animal models; however, their safety and efficacy in ADPKD require further evaluation through well-designed clinical trials. Therefore, the use of these supplements is not currently recommended for patients with ADPKD. In summary, dietary interventions such as caloric restriction, intermittent fasting, and ketogenic diet hold promise in ADPKD management by enhancing metabolic health. However, extensive clinical research is necessary to establish their effectiveness and long-term effects. Adhering to personalized dietary guidelines, including weight management and specific nutritional restrictions, can contribute to optimal ADPKD management. Future research should prioritize well-designed clinical trials to determine the benefits and safety of dietary interventions and supplementation in ADPKD.",Yes,,,"[{'Clinical Research in Nephrology': 0.2763268053531647, 'Pediatric Nephrology': 0.2526853084564209, 'Cardionephrology': 0.20832818746566772, 'Onconephrology': 0.15140266716480255, 'Critical Care in Nephrology': 0.07326507568359375, 'Blood Purification': 0.01657191663980484, 'Glomerular Disease': 0.011602762155234814, 'Kidney Transplantation': 0.009817276149988174}]"
22,"Ischemia/reperfusion injury (IRI) is prone to occur after kidney transplantation, leading to delayed graft function (DGF). MicroRNAs play a crucial role in the pathogenesis of ischemia/reperfusion-induced acute kidney injury, and miR-20a-5p was found to be the most significantly upregulated gene in a DGF patient cohort. However, the roles of microRNAs in transplanted kidneys remain largely unknown. In this study, we found that miR-20a-5p was upregulated in the kidneys of acute kidney injury mice and in patients with DGF. We identified early growth response-1 as a critical upstream target and verified the binding of early growth response-1 to a predicted sequence in the promoter region of the miR-20a-5p gene. Functionally, the miR-20a-5p mimic attenuated IRI and postischemic renal fibrosis, whereas the miR-20a-5p inhibitor delivery aggravated IRI and fibrosis. Importantly, delivery of the miR-20a-5p mimic or inhibitor in the donor kidneys attenuated or aggravated renal loss and structural damage in cold storage transplantation injury. Furthermore, our study identified miR-20a-5p as a negative regulator of acyl-CoA synthetase long-chain family member 4 (ACSL4) by targeting the 3' untranslated region of ACSL4 mRNA, thereby inhibiting ACSL4-dependent ferroptosis. Our results suggest a potential therapeutic application of miR-20a-5p in kidney transplantation through the inhibition of ACSL4-dependent ferroptosis.",Yes,Yes,Yes,"[{'Kidney Transplantation': 0.7418127059936523, 'Cardionephrology': 0.13321459293365479, 'Pediatric Nephrology': 0.045148056000471115, 'Onconephrology': 0.03193257004022598, 'Glomerular Disease': 0.016111945733428, 'Clinical Research in Nephrology': 0.013448166660964489, 'Critical Care in Nephrology': 0.01137536484748125, 'Blood Purification': 0.006956529803574085}, {'Transplantation Immunology': 0.32771000266075134, 'Tissue Injury': 0.19406454265117645, 'Organ and Tissue Preservation': 0.12916330993175507, 'Cell and Stem Cell Transplantation': 0.08982040733098984, 'Inflammation and Aging': 0.08369030058383942, 'Xenotransplantation': 0.06427459418773651, 'Vascularized Composite Allotransplantation': 0.03442692756652832, 'Repair': 0.025620166212320328, 'Immunosuppression': 0.020187873393297195, 'Abdominal Transplantation': 0.01705876924097538, 'Bioengineering': 0.009243986569344997, 'Thoracic Transplantation': 0.004739100579172373}]"
23,"Magnesium prevents vascular calcification in animals with CKD. In addition, lower serum magnesium is associated with higher risk of cardiovascular events in CKD. In a randomized, double-blinded, placebo-controlled trial, the authors investigated the effects of magnesium supplementation versus placebo on vascular calcification in patients with predialysis CKD. Despite significant increases in plasma magnesium among study participants who received magnesium compared with those who received placebo, magnesium supplementation did not slow the progression of vascular calcification in study participants. In addition, the findings showed a higher incidence of serious adverse events in the group treated with magnesium. Magnesium supplementation alone was not sufficient to delay progression of vascular calcification, and other therapeutic strategies might be necessary to reduce the risk of cardiovascular disease in CKD.",Yes,,,"[{'Cardionephrology': 0.52877277135849, 'Clinical Research in Nephrology': 0.28040778636932373, 'Kidney Transplantation': 0.047882042825222015, 'Blood Purification': 0.04113536328077316, 'Critical Care in Nephrology': 0.03724333643913269, 'Glomerular Disease': 0.025735674425959587, 'Pediatric Nephrology': 0.020532866939902306, 'Onconephrology': 0.018290115520358086}]"
24,Recent guidance suggests clinicians increase use of cystatin C for the estimation of GFR. Discrepant levels of creatinine- versus cystatin C-based eGFR (eGFRcr versus eGFRcys) can occur and might signify inaccurate estimation of GFR using creatinine alone. This study sought to enhance the knowledge of the risk factors and clinical implications of having a large eGFR discrepancy.,Yes,,,"[{'Cardionephrology': 0.31011101603507996, 'Clinical Research in Nephrology': 0.2828645706176758, 'Glomerular Disease': 0.23789411783218384, 'Critical Care in Nephrology': 0.07192449271678925, 'Pediatric Nephrology': 0.027435990050435066, 'Blood Purification': 0.025448476895689964, 'Kidney Transplantation': 0.024175111204385757, 'Onconephrology': 0.020146239548921585}]"
25,Secondary hyperparathyroidism is associated with osteoporosis and fractures. Etelcalcetide is an intravenous calcimimetic for the control of hyperparathyroidism in patients on hemodialysis. Effects of etelcalcetide on the skeleton are unknown.,Yes,,,"[{'Cardionephrology': 0.37712177634239197, 'Clinical Research in Nephrology': 0.2824678122997284, 'Kidney Transplantation': 0.12359815090894699, 'Onconephrology': 0.0848650336265564, 'Critical Care in Nephrology': 0.04610828682780266, 'Blood Purification': 0.03918920084834099, 'Pediatric Nephrology': 0.030933860689401627, 'Glomerular Disease': 0.015715893357992172}]"
