,0,COI?
10,"G.M. Chertow reports consultancy: Akebia, Ardelyx, AstraZeneca, Calico, Gilead, Miromatrix, Reata, Sanifit, Unicycive, and Vertex; ownership interest: Ardelyx, CloudCath, Durect, DxNow, Eliaz Therapeutics, Outset, Physiowave, PuraCath, Renibus, and Unicycive; research funding: CSL Behring, NIAID, and NIDDK; advisory or leadership role: Board of Directors, Satellite Healthcare, Co-Editor, <i>Brenner & Rector's The Kidney</i> (Elsevier); and other interests or relationships: DSMB service—Bayer, Gilead, Mineralys, NIDDK, and ReCor. C. Delgado reports membership of the GUIDE-US Anemia Council Scientific; advisory board for Glaxo Smith Kline; and serves on the editorial board for the <i>American Journal of Kidney Disease</i>. B. Grimes reports ownership interest: Abbot and Amgen. K.L. Johansen reports membership of the Steering Committee for the GSK ASCEND studies; consultancy for Akebia and Vifor Pharma; and serves as an Associate Editor for the <i>JASN</i>. N.R. Powe reports honoraria from Hennepin Healthcare Research Institute, Patient Centered Outcomes Research Institute, Robert Wood Johnson Foundation, and Vanderbilt University and scientific advisor or membership with Hennepin Healthcare Research Institute, Patient Centered Outcomes Research Institute, Robert Wood Johnson Foundation, the <i>JASN</i> as an Associate Editor, and Vanderbilt University. Because K.L. Johansen and N.R. Powe are editors of the <i>JASN</i>, they were not involved in the peer review process for this manuscript. A guest editor oversaw the peer review and decision-making process for this manuscript.",
11,"S.B. has received lecture fees from Astellas. L.E. has received fees from Astellas, Chiesi, Novartis, and Sanofi. The other authors declare no conflicts of interest.",
12,"The authors declare no conflicts of interest. The results presented in this article have not been previously published in whole, but data examples from a few individuals have been presented in a methodological article (Nielsen CM, Skov K, Buus NH, et al. Kidney structural characteristics based on a kidney biopsy and contrast-enhanced computed tomography in healthy living kidney donors. Anat Rec (Hoboken ). 2020;303:2693–2701).",No
13,"Dr. J.M. Bargman has served as a consultant and speaker for Amgen, Baxter, Bayer, DaVita Healthcare Partners, and GSK. J.M. Bargman also reports consultancy: Otsuka; honoraria: Baxter Healthcare, Davita Healthcare Partners, and Glaxo Smith Kline; advisory or leadership role: Editorial Boards of <i>Journal of the American Society of Nephrology</i>, <i>Peritoneal Dialysis International</i>, and <i>Clinical Journal of the American Society of Nephrology</i>; and speakers bureau: Baxter Canada, Baxter Global, DaVita Healthcare Partners, and Glaxo Smith Kline. Dr. T.W. Meyer has served as a consultant for Baxter. T.W. Meyer also reports research funding: Outset Medical; honoraria: Renal Research Institute; and advisory or leadership role: ASN editorial board and KI editorial board. Because Joanne Bargman is an editor of the <i>Journal of the American Society of Nephrology</i>, she was not involved in the peer review process for this manuscript. Another editor oversaw the peer review and decision-making process for this manuscript.",
14,"R. Knight reports employment with American Association of Kidney Patients; honoraria from American Kidney Fund, Johns Hopkins Center for Health Equity, Labcorp, Northwestern University, Novartis, Otsuka, and Personalized Medicine Coalition; advisory or leadership roles for NIDDK Advisory Council, Scientific Advisory Board for the “Rescuing Kidneys at Risk of Discard” project, and SRTR Review Committee; serving as AAKP President and a member of Quality Insights Patient Advisory Committee; and other interests or relationships with Bowie State University Board of Advisors and SRTR Review Committee. S. Menez reports consulting fees from the Dedham Group and research funding from RenalytixAI. C.R. Parikh reports consultancy agreements with Genfit Biopharmaceutical Company; ownership interest in RenalytixAI; research funding from National Heart, Lung and Blood Institute (NHLBI) and National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK); advisory or leadership roles for Genfit Biopharmaceutical Company and RenalytixAI; and is a coinventor on a pending patent, “Methods and Systems for Diagnosis of Acute Interstitial Nephritis,” that is subject to an option for a license agreement with RenalytixAI, Inc. S.V. Parikh reports consultancy agreements with Alexion, Aurinia Pharmaceuticals, Bristol Myers Squibb, GlaxoSmithKline, and Kezar Life Sciences; research funding from Aurinia Pharmaceuticals, NIH-NIDDK, and Serono-EMD; grant support from Aurinia Pharmaceuticals and Biogen Idec; and royalties from UpToDate.com. A.Z. Rosenberg reports research funding from NIH and NKF; honoraria from Georgetown University, Ichilov Hospital (Tel Aviv, Israel), and Stony Brook University; and an advisory or leadership role for Escala. B. Rovin reports consultancy agreements with Alexion, AstraZeneca, Aurinia, Biocryst, Biogen, BMS, Bristol Myers Squibb, Calliditas, Chemocentryx, Corrona, EMD-Serono/Merck, Exagen, Galapagos, Genentech, Horizon, Human Genome Sciences (GSK), Idorsia, Janssen, Lupus Foundation of America, MedImmune, Morphosys, Novartis, Omeros, Otsuka, Resonance, Retrophin, RILITE Foundation, Roche, and Vistera; research funding from Biogen; honoraria from Alexion, AstraZeneca, Aurinia, Biocryst, Biogen, BMS, Calliditas, Chemocentryx, Corrona, EMD-Serono/Merck, Exagen, Galapagos, Genentech, Horizon, Human Genome Sciences (GSK), Idorsia, Janssen, MedImmune, Morphosys, Novartis, Omeros, Otsuka, Resonance, Retrophin, RILITE Foundation, Roche, and Vistera; advisory or leadership roles for ASN Kidney Week, CureGN, KDIGO, <i>Kidney International</i>, <i>Kidney International Reports</i>, Lupus Foundation of America, <i>Nephrology Dialysis and Transplantation</i>, and UpToDate; and a lot of work with the ASN—mostly educational courses, work with the ISN and NKF, and work with the LFA. The remaining authors have nothing to disclose.",
15,"A.M. Huml reports Advisory or Leadership Role: Cleveland Minority Organ and Tissue Transplant Education Program (MOTTEP) Advisory Board Co-Chair, Chairperson for IPRO ESKD Network of the Ohio River Valley Medical Review Board, Member of the Medical Director Advisory Council for The National Forum of ESKD Networks. S.A. Husain reports Research Funding: Nelson family foundation; and Honoraria: Fresenius. S. Mohan receives grant funding from Kidney Transplant Collaborative and the NIH, and personal fees from Kidney International Reports and Health Services Advisory Group outside of the submitted work. S. Mohan also reports Consultancy: eGenesis and HSAG; Patents or Royalties: Columbia University; Advisory or Leadership Role: Chair of UNOS Data advisory committee, Deputy Editor of <i>Kidney International Reports</i> (ISN), Member of ASN Quality committee, Member of SRTR Review Committee, and National Faculty Chair of ETCLC. R.E. Patzer reports Employer: Vital (spouse); Ownership Interest: Vital Software (spouse has ownership); Advisory or Leadership Role: Editorial board of <i>American Journal of Transplantation</i>, <i>CJASN</i> editorial board, Chair of United Network for Organ Sharing Data Advisory Board; and Other Interests or Relationships: Vital ER—husband is a chief medical officer. J.D. Schold reports Consultancy: eGenesis and Sanofi Corporation; Research Funding: One Legacy Foundation; Honoraria: eGenesis and Sanofi Inc.; Advisory or Leadership Role: Data Safety Monitoring Board Member—Bristol Myers Squibb and Vice Chair UNOS Data Advisory Committee; and Speakers Bureau: Sanofi. The remaining author has nothing to disclose.",
16,"L. Zhou reports Employer: Foundation Medicine, Inc. M.E. Grams reports Advisory or Leadership Role: <i>American Journal of Kidney Diseases</i>, <i>Clinical Journal of the American Society of Nephrology</i>, <i>Journal of the American Society of Nephrology</i> Editorial Board, NKF Scientific Advisory Board, KDIGO Executive Committee, USRDS Scientific Advisory Board; and Other Interests or Relationships: Grant funding from NKF—which receives funding from multiple pharmaceutical companies, grant funding from NIH, payment from academic institutions for grand rounds, and payment from NephSAP. B. Gwen Windham reports Advisory or Leadership Role: <i>Journal of Gerontology</i>: Medical Sciences Associate Editor. E. Selvin reports Research Funding: National Institutes of Health (NIH); Patents or Royalties: Royalties from UpToDate for sections on screening, diagnosis, and laboratory testing for diabetes; and Advisory or Leadership Role: Deputy Editor of Diabetes Care, and on the Editorial Board of <i>Diabetologia</i>. J. Coresh reports Consultancy: Healthy.io and SomaLogic; Ownership Interest: Healthy.io; Research Funding: National Institutes of Health (NIH), National Kidney Foundation (NKF, which receives industry support); and Advisory or Leadership Role: Healthy.io, and National Kidney Foundation. L.A. Inker reports Consultancy: Diamtrix; Research Funding: funding to institute for research and contracts with the National Institutes of Health, National Kidney Foundation, Chinnocks, Omeros and Reata Pharmaceuticals; consulting agreements with Tricida Inc.; Advisory or Leadership Role: Alport Foundation—Medical Advisory Council, NKF—Scientific Advisory Board; and Other Interests or Relationships: American Society of Nephrology member, and National Kidney Foundation member. A.S. Levey reports Research Funding: Grants and contracts paid to Tufts Medical Center from NIH, and NKF; Contracts to paid to A.S. Levey from AstraZeneca (DSMB for dapagliflozin trials); and Honoraria: Academic medical centers for visiting professorships. All remaining authors have nothing to disclose.",
17,Disclosure Statement. The authors of this manuscript have no conflicts of interest to disclose as described by the <i>American Journal of Transplantation</i>.,No
18,"D. Sawinski reports Ownership Interest: CareDx; Research Funding: National Institutes of Health; Advisory or Leadership Role: American <i>Journal of Kidney Diseases</i>, <i>Clinical Transplantation</i>, Councilor at Large for American Society of Transplantation Board of Directors; and Other Interests or Relationships: UNOS Kidney Committee member, and Expert witness testimony. S.V. Niederhaus reports Consultancy: Memo Therapeutics; Honoraria: ASN/CDC; and Advisory or Leadership Role: National Kidney Foundation of Maryland/Delaware Board Member. J.S. Gill reports Consultancy: Takeda; Veloxis; Research Funding: Astellas; Honoraria: Hansa, Takeda, Veloxis; and Advisory or Leadership Role: <i>American Society of Transplantation</i>, Canadian Blood Services, and <i>Journal of the American Society of Nephrology</i> Associate Editor. Because J.S. Gill is an Associate Editor of the <i>Journal of the American Society of Nephrology</i>, he was not involved in the peer review process for this manuscript. Another editor oversaw the peer review and decision-making process for this manuscript. All remaining authors have nothing to disclose.",
19,"Conflicts of interest Dr. Fishman serves on the scientific advisory boards of Jura Bio, Well Medical Inc. , Sfunga Inc. , and as a consultant to eGenesis Inc and Makana Inc. He receives royalties from UpToDate. Dr. Fishman holds Patents 6190861; 6699663; 7,465,573. Molecular sequence of swine retrovirus and methods of use (J.A. Fishman, sole inventor, filed November, 1995).",
20,"T. Akizawa reports consultancy for Astellas, Bayer, GlaxoSmithKline, JT, Kissei, Kyowa Kirin, Nipro, Sanwa Kagaku, and Torii; honoraria from Astellas, Bayer, Chugai, Fuso, Kissei, Kyowa Kirin, Mitsubishi-Tanabe, Ono, Sanwa Kagaku, and Torii; and speakers bureau for Astellas, Bayer, Chugai, Fuso, Kissei, Kyowa Kirin, Mitsubishi-Tanabe, Ono, Sanwa Kagaku, and Torii. M. Fukagawa reports consultancy for AstraZeneca Japan, Kissei, Kyowa Kirin, Ono, Sanwa, Sanwa Kagaku, and Torii; research funding from Kyowa Kirin; honoraria from AstraZeneca, Bayer Japan, Kissei, Kyowa Kirin, Ono, Sanofi, Sanwa Kagaku, and Torii; and speakers bureau for AstraZeneca, Bayer Japan, Kissei, Kyowa Kirin, Ono, Sanofi, Sanwa Kagaku, and Torii. K. Hagita, D. Honda, and Y.S. Watanabe are employees of Sanwa Kagaku Kenkyusho Co. Ltd. Y. Isaka reports consultancy for Kirin Co. Ltd. and Sanwa Kagaku Kenkyusyo Co. Ltd.; research funding from Kirin Co. Ltd.; advisory or leadership role for Kirin Co. Ltd. and Sanwa Kagaku Kenkyusyo Co. Ltd.; and speakers bureau for Astellas Pharma Inc., AstraZeneca plc, Kirin Co. Ltd., Kissei Pharmaceutical Co. Ltd., Mitsubishi Tanabe Pharma, Otsuka Pharmaceutical Co. Ltd., and Sanwa Kagaku Kenkyusyo Co. Ltd. F. Koiwa reports consultancy for Kyowa Kirin Co. Ltd. and Sanwa Kagaku Kenkyusho Co., Ltd.; honoraria from Kissey Pharmaceutical CO, Ltd. and Kyowa Kirin CO, Ltd.; and speakers bureau for Bayer Yakuhin, Ltd., Kissey Pharmaceutical CO, Ltd., Kyowa-Hakko Kirin CO, Ltd., Ono Yakuhin Co. Ltd., and Sanwa Kagaku Kenkyusyo Co., Ltd. T. Shigematsu reports research funding from Astellas Pharma Inc., Kyowa Hakko Kirin Co., Ltd., Ono Pharmaceutical Co. Ltd., and Sanwa Kagaku Kenkyusho Co., Ltd.; honoraria from Sanwa Kagaku Kenkyusho Co., Ltd.; advisory or leadership role for Sanwa Kagaku Kenkyusho Co., Ltd.; and speakers bureau for Bayer in Japan, Kissei Pharmaceutical Co. Ltd., Kyowa Hakko Kirin Co., Ltd., Ono Pharmaceutical Co. Ltd., Sanwa Kagaku Kenkyusho Co., Ltd., and Torii Pharmaceutical Co. Ltd.",
