aff,parent
"Department of Surgery, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, USA.",University of North Carolina]US
"Division of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
"Division of Nephrology and Transplant, Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
"Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.",Mayo Clinic]US
"Department of Surgery and Emory Transplant Center, Emory University, Atlanta, Georgia, USA.",Emory University]US
"Department of Urology, Columbia University Irving Medical Center, New York, New York.",Columbia University]US
"Department of Cardiology , Texas Heart Institute , Houston , Texas.",Texas Heart Institute]US
"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
"Department of Medicine (Nephrology), Stanford University, Palo Alto, California.",Stanford University]US
"Department of Systems Biology and Columbia Genome Center, Columbia University, New York, New York.",Columbia University]US
"Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.",University of Texas]US
"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD. Electronic address: chirag.parikh@jhmi.edu.",Johns Hopkins University]US
"Division of Nephrology, Department of Medicine, Duke University, Durham, North Carolina",Duke University]US
"Division of General Internal Medicine and Hospital Medicine, University of Colorado, Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
"Glickman Urology and Kidney and Lerner Research Institutes , Cleveland Clinic , and Departments of Molecular Medicine and Physiology and Biophysics , Case Western Reserve University, Cleveland , Ohio.",Case Western Reserve University]US
"Starzl Transplantation Institute, Department of Surgery and Department of Immunology, University of Pittsburgh School of Medicine, Pittsburgh, PA.",University of Pittsburgh]US
"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Division of Nephrology, Department of Medicine, Department of Veterans Affairs Medical Center, University of Alabama at Birmingham, Birmingham, Alabama.",VA Health Systems Research]US
"Division of Vascular Surgery and Endovascular Therapy, University of Florida, Gainesville, Florida.",University of Florida]US
"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN.",University of Minnesota]US
"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital/Harvard Medical School, Boston, Massachusetts, USA. Electronic address: dkcooper@mgh.harvard.edu.",Harvard University]US
"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.",Pennsylvania State University]US
"Sherrie and Alan Conover Center for Liver Disease and Transplantation, Houston Methodist Hospital, Houston, TX.",Cornell University]US
"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio, USA.",Case Western Reserve University]US
"Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.",University of Maryland]US
"Veterans Affairs San Diego Healthcare System, San Diego, CA.",VA Health Systems Research]US
"Division of Gastroenterology and Hepatology, University of California, San Francisco, California, USA.",University of California]US
"Section of Endocrinology, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.",Yale University]US
"Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
"Department of Medicine, Houston Methodist Hospital, Houston, Texas.",Cornell University]US
"UT Southwestern Medical Center, Dallas, Texas, USA.",University of Texas]US
"Division of Renal Pathology, Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
"Department of Medicine, University of California San Francisco at the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, CA",University of California]US
"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",University of North Carolina]US
"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.",Tulane University]US
"Department of Surgery, Duke Transplant Center, Duke University School of Medicine, Duke Clinical Research Institute, Durham, North Carolina, USA. Electronic address: stuart.knechtle@duke.edu.",Duke University]US
"UNC Blood Research Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",University of North Carolina]US
"Department of Family Medicine, La Maestra Community Health Centers, San Diego, California.",La Maestra Community Health Centers]US
"Travere Therapeutics, Inc., San Diego, California.",Travere Inc]US
"The Rogosin Institute, New York, New York.",Cornell University]US
"Department of Medicine, University of Nebraska Medical Center, Omaha, Nebraska, USA.",University of Nebraska]US
"Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD.",Johns Hopkins University]US
"University of Utah Health and VA Salt Lake City Health Care System, Salt Lake City, Utah.",University of Utah]US
"Division of Precision Medicine, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
"Center for Drug Safety and Effectiveness, Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Pediatrics, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Division of Infectious Diseases, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.",Tufts University]US
"Henry Ford Hospital, Detroit, Michigan, USA.",Henry Ford Health]US
"Department of Medicine, University of California, Los Angeles, California.",University of California]US
"Department of Pediatrics, Riley Hospital for Children at Indiana University Health, Indianapolis, Indiana.",Indiana University]US
"Department of Family Medicine and Public Health, UC San Diego, La Jolla, CA.",University of California]US
"Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Department of Pediatrics, Division of Pediatric Nephrology, Masonic Children's Hospital, University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
"Department of Surgery,College of Medicine,University of Florida, Gainesville,Florida,USA.",University of Florida]US
"Transplant Branch, Division of Allergy, Immunology and Transplantation, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Rockville, Maryland.",National Institutes of Health]US
"Division of Nephrology and Hypertension, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
"Colorado Center for Transplantation Care, Research and Education, Aurora, Colorado, USA.",University of Colorado]US
"Division of Nephrology, Department of Medicine, School of Medicine, Stanford University, Stanford. Electronic address: mstedman@stanford.edu.",Stanford University]US
"NYU Health Sciences Library, NYU Grossman School of Medicine, NYU Langone Health, New York, New York.",New York University]US
"Division of Nephrology, Department of Medicine, University of California, San Francisco, California, USA.",University of California]US
"Washington University School of Medicine, St. Louis, Missouri.",Washington University in St. Louis]US
"CorMedix Inc., Berkeley Heights, New Jersey.",Cormedix Inc]US
"University of Chicago Medicine, Chicago, Illinois, USA",University of Chicago]US
"Department of Obstetrics & Gynecology, University of Washington, Seattle, Washington.",University of Washington]US
"Center for Health Equity Research and Promotion, VA Pittsburgh Healthcare System, Pittsburgh, Pennsylvania.",VA Health Systems Research]US
"Division of Hematology and Oncology, Department of Medicine, Feinberg School of Medicine, Northwestern University, Evanston, Illinois.",Northwestern Univerisity]US
"Social Work Services, Fresenius Medical Care North America, Waltham, Massachusetts.",Fresenius Health]US
"Department of Medicine, Penn Transplant Institute, University of Pennsylvania Health System, Philadelphia, Pennsylvania. Electronic address: mnh52@drexel.edu.",University of Pennsylvania]US
"Perelman School of Medicine at the University of Pennsylvania, Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Division of Pediatric Nephrology, Boston Children's, Boston, Massachusetts.",Harvard University]US
"Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Biostatistics Program, Office of the Director, National Institute of Diabetes & Digestive & Kidney Diseases, Bethesda, Maryland.",National Institutes of Health]US
"Department of Internal Medicine, School of Medicine, University of New Mexico, Albuquerque, NM.",University of New Mexico]US
"Nephrology Division, Kidney Research Institute and Institute of Translational Health Sciences, University of Washington, Seattle, Washington.",University of Washington]US
"Division of Pharmacotherapy and Experimental Therapeutics, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
"Lundquist Institute at Harbor-UCLA Medical Center, Torrance, California.",University of California]US
"Health Services Research Center, Emory University School of Medicine, Atlanta, Georgia, USA. Electronic address: katie.ross@emory.edu.",Emory University]US
"Southwest Immunodiagnostics, Inc., San Antonio, Texas, USA.",Southwest Immunodiagnotistics Inc]US
"Department of Biomedical Informatics, Stony Brook University, Stony Brook, New York.",State University of New York]US
"Departments of Medicine, Epidemiology and Population Health, and Health Policy, Stanford University School of Medicine, Stanford, California.",Stanford University]US
"Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
"Department of Surgery, Transplant Institute, New York University Langone Health, New York, New York.",New York University]US
"Division of Hospital Medicine, Johns Hopkins Bayview Medical Center, Baltimore, Maryland, USA.",Johns Hopkins University]US
"University of Pittsburgh Medical Center, Children's Hospital Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
"Department of Medicine, Ochsner Health, New Orleans, LA.",Ochsner Health System]US
"Division of Nephrology and Hypertension, Weill Cornell College of Medicine, New York, New York.",Cornell University]US
"Department of Anesthesiology and Critical Care, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
"Weill Cornell Medicine-New York Presbyterian Hospital, New York, NY.",Cornell University]US
"Medical Affairs, Satellite Healthcare, San Jose, California.",Satellite Healthcare]US
"Bloomberg Kimmel Institute for Cancer Immunotherapy, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Departments of Medicine and Surgery, University of California San Francisco, San Francisco, California.",University of California]US
Minnesota Department of Health.,Minnesota Department of Health]US
"Department of Nutrition Sciences, Drexel University College of Nursing and Health Professions, Philadelphia, Pennsylvania.",Drexel University]US
"Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
"Pediatric Nephrology Department, Children Healthcare of Atlanta, Emory University, Atlanta, Georgia, USA.",Emory University]US
"Departments of Medicine and Pediatrics, Divisions of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
"Department of Surgery, Massachusetts General Hospital, Boston, MA.",Harvard University]US
"U.S. Renal Care, Plano, Texas.",US Renal Care]US
"Division of Nephrology, Tufts Medical Center, Boston, Massachusetts. Electronic address: linker@tuftsmedicalcenter.org.",Tufts University]US
"Division of Nephrology, Department of Medicine, Columbia University Irving Medical Center, New York, New York, USA. Electronic address: gkd4@cumc.columbia.edu.",Columbia University]US
"Department of Psychiatry and Center for Technology and Behavioral Health, Geisel School of Medicine, Dartmouth College, Hanover, New Hampshire.",Dartmouth College]US
"Research on Ethics, Aging, and Community Health (REACH Lab), Medford, Massachusetts.",Tufts University]US
"Harvard Medical School, Boston, MA.",Harvard University]US
"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
"Section of Nephrology, Department of Medicine, Boston Medical Center, School of Medicine, Boston University, Boston, Massachusetts.",Boston University]US
"Department of Medicine (Nephrology), Case Western Reserve University/University Hospitals Cleveland Medical Center, Cleveland, OH.",Case Western Reserve University]US
"Department of Pathology and Laboratory Medicine, Boston University Chobanian & Avedisian School of Medicine and Boston Medical Center, Boston, MA.",Boston University]US
"Nephrology Division, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
"University of Colorado Anschutz Medical Center, Aurora, Colorado, USA.",University of Colorado]US
"Department of Biomedical Data Science, Stanford University School of Medicine, Stanford, California.",Stanford University]US
"Division of Nephrology and Hypertension , Department of Medicine , University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
"Renal Physicians Association, Rockville, Maryland.",Renal Physicians Association]US
"Division of Nephrology, University of Texas Southwestern Medical Center, Dallas, Texas. Electronic address: Bethany.roehm@utsouthwestern.edu.",University of Texas]US
"Kidney Research Institute, Division of Nephrology, Department of Medicine, University of Washington, Seattle, WA.",University of Washington]US
"Division of Nephrology, Department of Internal Medicine, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Geriatric Research and Education Clinical Center, Palo Alto Veterans Affairs Health Care System, Palo Alto, California.",VA Health Systems Research]US
"University of Colorado Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
"Division of Geriatric and Palliative Medicine, Department of Internal Medicine, University of Michigan Medical School, Ann Arbor, Michigan.",University of Michigan]US
"Department of Surgery,Mayo Clinic Rochester,Rochester,Minnesota,USA.",Mayo Clinic]US
"Division of Nephrology, Department of Medicine, University of Michigan.",University of Michigan]US
"Welch Center for Prevention, Epidemiology and Clinical Research, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Department of Pediatrics, University of Washington School of Medicine and Seattle Children's Hospital, Seattle, Washington.",University of Washington]US
"Herbert Wertheim School of Public Health and Human Longevity Science, University of California, San Diego, La Jolla, California.",University of California]US
"Department of Pathology and Laboratory Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
"Department of Medicine, UWHealth Transplant Center, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA.",University of Wisconsin]US
"Department of Surgery, Duke University Medical Center, Durham, North Carolina, USA.",Duke University]US
"Division of Cardiology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
"Department of Medical Education, Texas A&M University College of Medicine, Temple, Texas.",Texas A&M University]US
"Department of Medicine, Sarasota Memorial Hospital, Florida State University College of Medicine, Sarasota, Florida.",Florida State University]US
"Section of Transplantation, Department of Surgery, The University of Chicago, Chicago, Illinois, USA.",University of Chicago]US
"Department of Medicine, University of California San Francisco, San Francisco, CA.",University of California]US
"Department of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco, California.",University of California]US
"Division of Cardiovascular Medicine, Department of Medicine, Indiana University, Indianapolis, Indiana, USA.",Indiana University]US
"Geriatrics Research Education and Clinical Care Service , Tennessee Valley Healthcare System VA, Nashville , Tennessee.",VA Health Systems Research]US
"ATK PharmaStrategies, LLC, Boston, Massachusetts.",ATK Inc]US
"Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",Vanderbilt University]US
"Division of Pharmacoepidemiology, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, Massachusetts",Harvard University]US
"Division of Nephrology, Virginia Commonwealth University, Richmond, Virginia.",Virginia Commonwealth University]US
"Renal Service, Memorial Sloan Kettering Cancer Center, New York, New York.",Memorial Sloan Kettering]US
"Departments of Epidemiology, Biostatistics and Medicine, University of California-San Francisco, San Francisco, California",University of California]US
"Division of Critical Care Medicine, Montefiore Medical Center, Albert Einstein College of Medicine, Bronx, NY. Electronic address: ap3577@cumc.columbia.edu.",Albert Einstein College of Medicine]US
"Department of Epidemiology, Geisel School of Medicine at Dartmouth, Hanover, New Hampshire.",Dartmouth College]US
"Division of Nephrology, Saint Louis University School of Medicine, Saint Louis, Missouri.",Saint Louis University]US
"Denver Health, Denver, Colorado.",University of Colorado]US
"Scientific Registry of Transplant Recipients, Hennepin Healthcare Research Institute, Minneapolis, MN.",Scientific Registry of Transplant Recipients]US
"Arbor Research Collaborative for Health, Ann Arbor, Michigan",University of Michigan]US
"Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts, USA.",Harvard University]US
"Division of Cardiology, School of Medicine, Duke University, Durham, North Carolina.",Duke University]US
"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California.",University of California]US
"Department of Pharmacy, Barnes Jewish Hospital, St. Louis, MO.",Washington University]US
"Division of Kidney Diseases and Hypertension, George Washington University School of Medicine and Health Sciences, Washington, DC.",George Washington University]US
"College of Pharmacy, University of Tennessee Health Science Center, Memphis, Tennesse, USA.",University of Tennessee]US
"Department of Medicine, Emory University School of Medicine, Atlanta, Georgia, USA.",Emory University]US
"Division of Nephrology, Department of Pediatrics, University of Washington Seattle Children's Hospital, Seattle, Washington.",University of Washington]US
"Department of Medicine, Drexel University College of Medicine, Philadelphia, Pennsylvania.",Drexel University]US
"Department of Medicine, Division of Nephrology, University of Illinois at Chicago, Chicago, IL.",University of Illinois]US
"Schulze Diabetes Institute, Department of Surgery, University of Minnesota, Minneapolis, MN, USA.",University of Minnesota]US
"Institute of Clinical and Translational Research, Department of Medicine, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
"Department of Pharmacy, University of Utah Health, Salt Lake City, Utah.",University of Utah]US
"Piedmont Transplant Institute, Atlanta, Georgia.",Piedmont Transplant]US
"Children's of Alabama, Birmingham, Alabama, USA",University of Alabama]US
"Department of Biostatistics and Bioinformatics, Duke University, Durham, NC, USA",Duke University]US
"Kidney Health Research Institute, Danville, Pennsylvania",Geisinger Health]US
"Louis Stokes Cleveland Veterans Affairs Medical Center, Cleveland, University Hospitals Cleveland Medical Center and Case Western Reserve University, Cleveland, Ohio",Case Western Reserve University]US
"Section on Genetics and Epidemiology, Research Division, Joslin Diabetes Center, Boston, Massachusetts.",Harvard University]US
"Division of Cardiovascular Medicine, Stanford University School of Medicine, Palo Alto, California, USA.",Stanford University]US
"Division of Gastroenterology and Hepatology, Department of Medicine, University of California-San Francisco, San Francisco, California, USA.",University of California]US
"Department of Surgery, Columbia University Medical Center, New York, New York, USA.",Columbia University]US
"Internal Medicine/Nephrology and Hypertension, Henry Ford Hospital, Detroit, Michigan.",Henry Ford Health]US
"Division of Infectious Diseases, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Department of Medicine, University of Colorado Anschutz Campus, Denver, Colorado.",University of Colorado]US
"Renal-Electrolyte and Hypertension Division, Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania]US
"Kidney Research Institute and Division of Nephrology, University of Washington, Seattle, Washington. Electronic address: himmej@uw.edu.",University of Washington]US
"Departments of Surgery and Public Health, Pennsylvania State University College of Medicine, Hershey, Pennsylvania, USA. Electronic address: rlynch2@pennstatehealth.psu.",Pennsylvania State University]US
"Department of Pediatrics, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
"Center for Biomedical Informatics, Regenstrief Institute, Indianapolis, Indiana.",Regenstrief]US
"Pritzker School of Medicine, University of Chicago, Chicago, Illinois.",University of Chicago]US
"Applied Clinical Research Center, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Northwestern University Feinberg School of Medicine, Chicago, Illinois.",Northwestern Univerisity]US
"Tulane University School of Medicine, New Orleans, Louisiana.",Tulane University]US
"Division of Cardiology, Department of Medicine, University of Illinois at Chicago, Chicago, Illinois.",University of Illinois]US
"Department of Family Medicine and Community Health, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
"Division of Gastroenterology, Department of Medicine, Loma Linda University Health, Loma Linda, CA.",Loma Linda University]US
"Cardiovascular Division, Brigham and Women's Hospital, Harvard Medical School, Boston, MA.",Harvard University]US
"Pulmonary and Critical Care Medicine, Johns Hopkins Hospital, Baltimore, Maryland, USA.",Johns Hopkins University]US
"Division of Medicine, Mayo Clinic, Scottsdale, Arizona, USA. Electronic address: budhiraja.pooja@mayo.edu.",Mayo Clinic]US
"Baylor College of Medicine Lung Institute, Houston, Texas, USA.",Baylor College of Medicine]US
"Division of Transplant Surgery and Transplant Surgery Research Laboratory, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA. Electronic address: stullius@bwh.harvard.edu.",Harvard University]US
"Division of Transplant Surgery, Department of Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA. Electronic address: stullius@bwh.harvard.edu.",Harvard University]US
"Laboratory of Virology, Division of Intramural Research, National Institute of Allergy and Infectious Diseases, National Institute of Health, Hamilton, Montana, USA.",National Institutes of Health]US
"Department of Surgery, State University of New York, New York, USA.",State University of New York]US
"Center for Liver Disease and Transplantation, Columbia University Medical Center, New York, NY.",Columbia University]US
"Department of Microbiology and Immunology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",University of North Carolina]US
"Department of Pharmacy, Johns Hopkins Medicine, Baltimore, Maryland.",Johns Hopkins University]US
"Division of Nephrology, Department of Medicine, University of California at San Francisco, San Francisco",University of California]US
"Division of Infectious Diseases, Duke University School of Medicine, Durham, North Carolina, USA",Duke University]US
"Division of Kidney-Pancreas Transplantation, Department of Surgery, Miami Transplant Institute, University of Miami Miller School of Medicine, Miami, Florida, USA.",University of Miami]US
"Division of Gastroenterology and Hepatology, Department of Medicine, University of California-San Francisco, San Francisco, California, USA. Electronic address: jin.ge@ucsf.edu.",University of California]US
"Division of Vaccines and Related Products Applications, Office of Vaccines Research and Review, Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, Maryland.",Department of Health and Human Services]US
"Department of Cardiology, Cedars-Sinai Smidt Heart Institute, Los Angeles, California, USA.",University of California]US
"Laboratory of Infectious Diseases, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health]US
"Department of Surgery, Division of Transplantation, Feinberg School of Medicine, Northwestern University, Chicago, Illinois",Northwestern Univerisity]US
"Center for Applied Genomics and Department of Pediatrics, Perelman School of Medicine, Philadelphia, Pennsylvania.",University of Pennsylvania]US
"Department of Surgery, University of Florida, Gainesville, Florida, USA.",University of Florida]US
"Research on Ethics, Aging, and Community Health (REACH) Lab, Tufts University, Medford, Massachusetts",Tufts University]US
"Department of Medicine, University of California, San Francisco, San Francisco, CA.",University of California]US
"Biostatistics Research Center, Tufts Clinical and Translational Science Institute, Boston, Massachusetts.",Tufts University]US
"Office of Medical Policy, Center for Drug Evaluation and Research, Food and Drug Administration, Silver Spring, Maryland.",Department of Health and Human Services]US
"Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Center, Seattle, Washington, USA.",Fred Hutchinson]US
"Center for Transplantation Sciences, Massachusetts General Hospital, Boston, Massachusetts, USA. Electronic address: jmarkmann@partners.org.",Harvard University]US
"Division of Nephrology, Veterans Affairs Ann Arbor Health System, Ann Arbor, MI. Electronic address: nsukul@med.umich.edu.",University of Michigan]US
"Division of Nephrology, San Francisco VA Medical Center, San Francisco",VA Health Systems Research]US
"Department of Communication, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
"Department of Medicine, Division of Nephrology and Hypertension, Vanderbilt University Medical Center, Nashville, Tennessee",Vanderbilt University]US
"Laboratory of Transplantation Genomics, National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health, Bethesda, Maryland, USA",National Institutes of Health]US
"DaVita Inc, Regulatory Affairs, Denver, Colorado.",DaVita Inc]US
"Institutional Review Board and Clinical and Translational Science Institute, Wake Forest University School of Medicine, Winston-Salem, North Carolina.",Wake Forest University]US
"Division of Cardiovascular Medicine, Department of Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
"Department of Surgery, University of Wisconsin, Madison, Wisconsin.",University of Wisconsin]US
"Feinberg School of Medicine, Northwestern University, Chicago, Illinois.",Northwestern Univerisity]US
"Division of Pulmonary and Critical Care Medicine, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Department of Medicine, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
"Department of Epidemiology, Bloomberg School of Public Health, School of Medicine, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
"Division of Nephrology, Department of Medicine, and Irving Medical Center, Columbia University, New York, and Montefiore Medical Center, Bronx, New York.",Albert Einstein College of Medicine]US
"Department of Medicine, University of Illinois College of Medicine at Chicago, Chicago, Illinois.",University of Illinois]US
"Feinstein Institute for Medical Research, Northwell Health, New York, New York.",Northwell Health]US
"Departments of Medicine, University of Washington School of Medicine, Seattle, Washington, USA",University of Washington]US
"Center for Transplantation, University of California San Diego Health, La Jolla, California, USA. Electronic address: alichvar@health.ucsd.edu.",University of California]US
"Department of Medicine, Division of Nephrology, The Ohio State University Wexner Medical Center, Columbus, Ohio.",Ohio State University]US
"Georgetown University School of Medicine, Washington, DC.",Georgetown University]US
"Baylor Simmons Transplant Institute, Dallas, Texas.",Baylor Scott & White Health]US
"Department of Medicine, Section of Rheumatology, University of Chicago, Chicago, Illinois, USA. Electronic address: malegre@midway.uchicago.edu.",University of Chicago]US
"Department of Surgery, Duke University, Durham, North Carolina, USA.",Duke University]US
"Kidneylink, U.S. Renal Care Plano, Texas, USA.",US Renal Care]US
"Center for Global Cardiometabolic Health, Departments of Epidemiology, Medicine, and Surgery, Brown University, Providence, Rhode Island.",Providence Health Inc]US
"Barbara T. Murphy Division of Nephrology, Department of Medicine, Icahn School of Medicine at Mount Sinai, New York, New York.",Mount Sinai]US
"Division of Nephrology-Hypertension, University of California San Diego, Veterans Affairs San Diego Healthcare System, San Diego, California.",VA Health Systems Research]US
"Puget Sound Kidney Centers, Everett, Washington.",Puget Sound Kidney Centers]US
"Division of Pulmonary, Allergy and Critical Care Medicine, Columbia University Medical Center, New York City, New York, USA.",Columbia University]US
"Center for Disease Dynamics, Economics & Policy, Washington, District of Columbia.",One Health Trust]US
"Department of Kidney Medicine, Cleveland Clinic, Cleveland, Ohio.",Case Western Reserve University]US
"Selzman Institute for Kidney Health, Section of Nephrology, Department of Medicine, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
"Department of Epidemiology, Colorado University School of Public Health, Aurora, Colorado.",University of Colorado]US
"Department of of Internal Medicine and Iowa Institute of Human Genetics, University of Iowa Carver College of Medicine, Iowa City, Iowa, USA.",University of Iowa]US
"Department of Medicine, School of Medicine, Duke University, Durham, North Carolina.",Duke University]US
"Department of Psychiatry & Psychology, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
"Division of Nephrology, Bone and Mineral Metabolism, University of Kentucky, Lexington, Kentucky.",University of Kentucky]US
"Salt Lake County Health Department, Salt Lake City, Utah.",Salt Lake County Health Department]US
