,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Division of Pathology, Hôpital Maisonneuve-Rosemont, Université de Montréal, Montréal, Québec, Canada.","{'entity_group': 'ORG', 'score': 0.7756598, 'word': 'Division', 'start': 0, 'end': 8}","{'entity_group': 'ORG', 'score': 0.77807117, 'word': 'Pathology', 'start': 12, 'end': 21}","{'entity_group': 'LOC', 'score': 0.9800355, 'word': 'al Maisonneuve-Rosemont', 'start': 28, 'end': 51}","{'entity_group': 'ORG', 'score': 0.9916917, 'word': 'Université de Montréal', 'start': 53, 'end': 75}","{'entity_group': 'LOC', 'score': 0.999972, 'word': 'Montréal', 'start': 77, 'end': 85}","{'entity_group': 'LOC', 'score': 0.99998426, 'word': 'Québec', 'start': 87, 'end': 93}","{'entity_group': 'LOC', 'score': 0.99999154, 'word': 'Canada', 'start': 95, 'end': 101}",,,,,,,,
"Department of Pediatrics, University Hospital of Split, Split, Croatia.","{'entity_group': 'ORG', 'score': 0.72229046, 'word': 'Pediatri', 'start': 14, 'end': 22}","{'entity_group': 'LOC', 'score': 0.98675835, 'word': 'University Hospital of Split', 'start': 26, 'end': 54}","{'entity_group': 'LOC', 'score': 0.9999876, 'word': 'Split', 'start': 56, 'end': 61}","{'entity_group': 'LOC', 'score': 0.999992, 'word': 'Croatia', 'start': 63, 'end': 70}",,,,,,,,,,,
"Department of Medicine, Division of Nephrology and Hypertension and Department of Transplantation Medicine, New York Presbyterian Hospital-Weill Cornell Medical Center, New York, NY.","{'entity_group': 'ORG', 'score': 0.99209976, 'word': 'Department of Medicine', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99484277, 'word': 'Division of Nephrology and Hypertension', 'start': 24, 'end': 63}","{'entity_group': 'ORG', 'score': 0.99246556, 'word': 'Department of Transplantation Medicine', 'start': 68, 'end': 106}","{'entity_group': 'LOC', 'score': 0.97604686, 'word': 'New York Presbyterian Hospital-Weill Cornell Medical Center', 'start': 108, 'end': 167}","{'entity_group': 'LOC', 'score': 0.99998534, 'word': 'New York', 'start': 169, 'end': 177}","{'entity_group': 'LOC', 'score': 0.9995314, 'word': 'NY', 'start': 179, 'end': 181}",,,,,,,,,
"Centre de Référence des Maladies Rénales Rares, Hôpital Femme Mère Enfant, Lyon, France.","{'entity_group': 'ORG', 'score': 0.99327904, 'word': 'Centre de Référence des Maladies Rénales Rares', 'start': 0, 'end': 46}","{'entity_group': 'LOC', 'score': 0.9896071, 'word': 'Hôpital Femme Mère Enfant', 'start': 48, 'end': 73}","{'entity_group': 'LOC', 'score': 0.999985, 'word': 'Lyon', 'start': 75, 'end': 79}","{'entity_group': 'LOC', 'score': 0.9999963, 'word': 'France', 'start': 81, 'end': 87}","{'entity_group': 'ORG', 'score': 0.85291654, 'word': '.', 'start': 87, 'end': 88}",,,,,,,,,,
"Department of Molecular and Clinical Medicine, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.","{'entity_group': 'ORG', 'score': 0.9948094, 'word': 'Department of Molecular and Clinical Medicine', 'start': 0, 'end': 45}","{'entity_group': 'ORG', 'score': 0.99958855, 'word': 'Institute of Medicine', 'start': 47, 'end': 68}","{'entity_group': 'ORG', 'score': 0.9996363, 'word': 'Sahlgrenska Academy', 'start': 70, 'end': 89}","{'entity_group': 'ORG', 'score': 0.9916003, 'word': 'University of Gothenburg', 'start': 91, 'end': 115}","{'entity_group': 'LOC', 'score': 0.99999344, 'word': 'Gothenburg', 'start': 117, 'end': 127}","{'entity_group': 'LOC', 'score': 0.99999547, 'word': 'Sweden', 'start': 129, 'end': 135}",,,,,,,,,
"Division of Nephrology, Yale University, New Haven, Connecticut.","{'entity_group': 'ORG', 'score': 0.9990208, 'word': 'Division of Nephrology', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99992174, 'word': 'Yale University', 'start': 24, 'end': 39}","{'entity_group': 'LOC', 'score': 0.9999852, 'word': 'New Haven', 'start': 41, 'end': 50}","{'entity_group': 'LOC', 'score': 0.9999829, 'word': 'Connecticut', 'start': 52, 'end': 63}",,,,,,,,,,,
"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA","{'entity_group': 'ORG', 'score': 0.9706884, 'word': 'Renal-Electrolyte and Hypertension Division', 'start': 0, 'end': 43}","{'entity_group': 'ORG', 'score': 0.63480616, 'word': 'Pere', 'start': 45, 'end': 49}","{'entity_group': 'LOC', 'score': 0.66385895, 'word': 'lman School', 'start': 49, 'end': 60}","{'entity_group': 'LOC', 'score': 0.65137726, 'word': 'Medicine', 'start': 64, 'end': 72}","{'entity_group': 'ORG', 'score': 0.99968386, 'word': 'University of Pennsylvania', 'start': 74, 'end': 100}","{'entity_group': 'LOC', 'score': 0.95597523, 'word': 'Philadelphia', 'start': 102, 'end': 114}","{'entity_group': 'LOC', 'score': 0.9997297, 'word': 'Pennsylvania', 'start': 116, 'end': 128}","{'entity_group': 'LOC', 'score': 0.99996066, 'word': 'USA', 'start': 130, 'end': 133}",,,,,,,
"Ludwig Boltzmann Institute for Osteology at the Hanusch Hospital of OEGK and AUVA Trauma Centre Meidling, 1st Medical Department, Hanusch Hospital, Vienna, Austria.","{'entity_group': 'ORG', 'score': 0.9974353, 'word': 'Ludwig Boltzmann Institute for Osteology', 'start': 0, 'end': 40}","{'entity_group': 'LOC', 'score': 0.99994475, 'word': 'Hanusch Hospital', 'start': 48, 'end': 64}","{'entity_group': 'ORG', 'score': 0.99960476, 'word': 'OEGK', 'start': 68, 'end': 72}","{'entity_group': 'ORG', 'score': 0.8397085, 'word': 'AUVA Traum', 'start': 77, 'end': 87}","{'entity_group': 'ORG', 'score': 0.66743547, 'word': 'id', 'start': 98, 'end': 100}","{'entity_group': 'LOC', 'score': 0.99996364, 'word': 'Hanusch Hospital', 'start': 130, 'end': 146}","{'entity_group': 'LOC', 'score': 0.99999607, 'word': 'Vienna', 'start': 148, 'end': 154}","{'entity_group': 'LOC', 'score': 0.9999969, 'word': 'Austria', 'start': 156, 'end': 163}",,,,,,,
"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.","{'entity_group': 'ORG', 'score': 0.99952793, 'word': 'Department of Obstetrics and Gynecology', 'start': 0, 'end': 39}","{'entity_group': 'ORG', 'score': 0.99986523, 'word': 'University of Washington', 'start': 41, 'end': 65}","{'entity_group': 'LOC', 'score': 0.9989618, 'word': 'Seattle', 'start': 67, 'end': 74}","{'entity_group': 'LOC', 'score': 0.99837613, 'word': 'WA', 'start': 76, 'end': 78}","{'entity_group': 'ORG', 'score': 0.5262403, 'word': '.', 'start': 78, 'end': 79}",,,,,,,,,,
"Institute of Pathology, University Hospital Tübingen, Tübingen, Germany.","{'entity_group': 'ORG', 'score': 0.99852216, 'word': 'Institute of Pathology', 'start': 0, 'end': 22}","{'entity_group': 'LOC', 'score': 0.81668174, 'word': 'University Hospital Tübingen', 'start': 24, 'end': 52}","{'entity_group': 'LOC', 'score': 0.99999094, 'word': 'Tübingen', 'start': 54, 'end': 62}","{'entity_group': 'LOC', 'score': 0.9999957, 'word': 'Germany', 'start': 64, 'end': 71}",,,,,,,,,,,
"Department of Medicine, University of Hong Kong, Queen Mary Hospital, Pokfulam, Hong Kong.","{'entity_group': 'ORG', 'score': 0.95238954, 'word': 'Department of Medicine', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99985653, 'word': 'University of Hong Kong', 'start': 24, 'end': 47}","{'entity_group': 'LOC', 'score': 0.999932, 'word': 'Queen Mary Hospital', 'start': 49, 'end': 68}","{'entity_group': 'LOC', 'score': 0.99993634, 'word': 'Pokfulam', 'start': 70, 'end': 78}","{'entity_group': 'LOC', 'score': 0.99999714, 'word': 'Hong Kong', 'start': 80, 'end': 89}",,,,,,,,,,
"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada. Electronic address: istvan.mucsi@utoronto.ca.","{'entity_group': 'ORG', 'score': 0.93142223, 'word': 'Ajmera Transplant Centre', 'start': 0, 'end': 24}","{'entity_group': 'ORG', 'score': 0.7271347, 'word': 'University Health Network', 'start': 26, 'end': 51}","{'entity_group': 'LOC', 'score': 0.9999578, 'word': 'Toronto', 'start': 53, 'end': 60}","{'entity_group': 'LOC', 'score': 0.9999796, 'word': 'Ontario', 'start': 62, 'end': 69}","{'entity_group': 'LOC', 'score': 0.9999912, 'word': 'Canada', 'start': 71, 'end': 77}","{'entity_group': 'PER', 'score': 0.9998009, 'word': 'istvan', 'start': 99, 'end': 105}","{'entity_group': 'PER', 'score': 0.99929047, 'word': 'mucsi', 'start': 106, 'end': 111}","{'entity_group': 'ORG', 'score': 0.9918504, 'word': 'utoronto', 'start': 112, 'end': 120}","{'entity_group': 'ORG', 'score': 0.88045377, 'word': 'ca', 'start': 121, 'end': 123}",,,,,,
"Department of Obstetrics and Gynecology, Xijing Hospital, The Fourth Military Medical University, Xi'an, People's Republic of China.","{'entity_group': 'ORG', 'score': 0.888344, 'word': 'Department of Obstetrics and Gynecology', 'start': 0, 'end': 39}","{'entity_group': 'LOC', 'score': 0.9998632, 'word': 'Xijing Hospital', 'start': 41, 'end': 56}","{'entity_group': 'ORG', 'score': 0.74378425, 'word': 'The Fourth Military Medical University', 'start': 58, 'end': 96}","{'entity_group': 'LOC', 'score': 0.9999898, 'word': ""Xi'an"", 'start': 98, 'end': 103}","{'entity_group': 'LOC', 'score': 0.9999768, 'word': ""People's Republic of China"", 'start': 105, 'end': 131}",,,,,,,,,,
"Department of Obstetrics, Gynecology and Reproductive Medicine, Hopital Foch, Suresnes, France.","{'entity_group': 'ORG', 'score': 0.99439657, 'word': 'Department of Obstetrics, Gynecology and Reproductive Medicine', 'start': 0, 'end': 62}","{'entity_group': 'LOC', 'score': 0.744015, 'word': 'Hopital Foch', 'start': 64, 'end': 76}","{'entity_group': 'LOC', 'score': 0.9999543, 'word': 'Suresnes', 'start': 78, 'end': 86}","{'entity_group': 'LOC', 'score': 0.99999714, 'word': 'France', 'start': 88, 'end': 94}",,,,,,,,,,,
"Department of Internal Medicine, College of Medicine, Institute of Kidney Disease Research, Yonsei University, Seoul.","{'entity_group': 'ORG', 'score': 0.9980944, 'word': 'Department of Internal Medicine', 'start': 0, 'end': 31}","{'entity_group': 'ORG', 'score': 0.99728113, 'word': 'College of Medicine', 'start': 33, 'end': 52}","{'entity_group': 'ORG', 'score': 0.9999809, 'word': 'Institute of Kidney Disease Research', 'start': 54, 'end': 90}","{'entity_group': 'ORG', 'score': 0.999984, 'word': 'Yonsei University', 'start': 92, 'end': 109}","{'entity_group': 'LOC', 'score': 0.99998677, 'word': 'Seoul', 'start': 111, 'end': 116}","{'entity_group': 'ORG', 'score': 0.8466313, 'word': '.', 'start': 116, 'end': 117}",,,,,,,,,
"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.","{'entity_group': 'ORG', 'score': 0.9999717, 'word': 'Department of Regenerative Medicine Research', 'start': 0, 'end': 44}","{'entity_group': 'ORG', 'score': 0.9999356, 'word': 'Texas Heart Institute', 'start': 46, 'end': 67}","{'entity_group': 'LOC', 'score': 0.999972, 'word': 'Houston', 'start': 69, 'end': 76}","{'entity_group': 'LOC', 'score': 0.99942976, 'word': 'TX', 'start': 78, 'end': 80}",,,,,,,,,,,
"LIM 12, Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil.","{'entity_group': 'ORG', 'score': 0.5677141, 'word': 'LIM', 'start': 0, 'end': 3}","{'entity_group': 'ORG', 'score': 0.9999, 'word': 'Faculdade de Medicina da Universidade de São Paulo', 'start': 8, 'end': 58}","{'entity_group': 'LOC', 'score': 0.9999877, 'word': 'São Paulo', 'start': 60, 'end': 69}","{'entity_group': 'LOC', 'score': 0.9999862, 'word': 'Brazil', 'start': 71, 'end': 77}",,,,,,,,,,,
"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.","{'entity_group': 'ORG', 'score': 0.9373673, 'word': 'Department of Surgery', 'start': 0, 'end': 21}","{'entity_group': 'ORG', 'score': 0.9975216, 'word': 'Division of Transplantation', 'start': 23, 'end': 50}","{'entity_group': 'ORG', 'score': 0.99851143, 'word': 'Department of Microbiology and Immunology', 'start': 55, 'end': 96}","{'entity_group': 'ORG', 'score': 0.9904322, 'word': 'University of Maryland School of Medicine', 'start': 98, 'end': 139}","{'entity_group': 'LOC', 'score': 0.9999422, 'word': 'Baltimore', 'start': 141, 'end': 150}","{'entity_group': 'LOC', 'score': 0.99892116, 'word': 'MD', 'start': 152, 'end': 154}",,,,,,,,,
"Multi-Organ Transplant Program, Ajmera Transplant Center, University of Toronto, Toronto, ON, Canada.","{'entity_group': 'MISC', 'score': 0.9986644, 'word': 'Multi-Organ Transplant Program', 'start': 0, 'end': 30}","{'entity_group': 'LOC', 'score': 0.9899826, 'word': 'Ajmera Transplant Center', 'start': 32, 'end': 56}","{'entity_group': 'ORG', 'score': 0.9874014, 'word': 'University of Toronto', 'start': 58, 'end': 79}","{'entity_group': 'LOC', 'score': 0.9999695, 'word': 'Toronto', 'start': 81, 'end': 88}","{'entity_group': 'LOC', 'score': 0.997917, 'word': 'ON', 'start': 90, 'end': 92}","{'entity_group': 'LOC', 'score': 0.9999826, 'word': 'Canada', 'start': 94, 'end': 100}",,,,,,,,,
"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.","{'entity_group': 'ORG', 'score': 0.9901166, 'word': 'Division of Nephrology', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99209523, 'word': 'Department of Medicine', 'start': 24, 'end': 46}","{'entity_group': 'ORG', 'score': 0.9995324, 'word': 'Columbia University', 'start': 48, 'end': 67}","{'entity_group': 'LOC', 'score': 0.999979, 'word': 'New York', 'start': 69, 'end': 77}","{'entity_group': 'LOC', 'score': 0.99997616, 'word': 'New York', 'start': 79, 'end': 87}",,,,,,,,,,
"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.","{'entity_group': 'LOC', 'score': 0.5207893, 'word': 'Department', 'start': 0, 'end': 10}","{'entity_group': 'ORG', 'score': 0.48376596, 'word': 'of', 'start': 11, 'end': 13}","{'entity_group': 'LOC', 'score': 0.6633857, 'word': 'Medicine', 'start': 14, 'end': 22}","{'entity_group': 'LOC', 'score': 0.9908408, 'word': 'Cedars-Sinai Medical Center', 'start': 24, 'end': 51}","{'entity_group': 'LOC', 'score': 0.9999505, 'word': 'Los Angeles', 'start': 53, 'end': 64}","{'entity_group': 'LOC', 'score': 0.99997246, 'word': 'California', 'start': 66, 'end': 76}","{'entity_group': 'LOC', 'score': 0.9999627, 'word': 'USA', 'start': 78, 'end': 81}",,,,,,,,
"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco","{'entity_group': 'ORG', 'score': 0.9991217, 'word': 'Department Epidemiology and Biostatistics', 'start': 0, 'end': 41}","{'entity_group': 'ORG', 'score': 0.9998684, 'word': 'University of California at San Francisco', 'start': 43, 'end': 84}","{'entity_group': 'LOC', 'score': 0.99994314, 'word': 'San Francisco', 'start': 86, 'end': 99}",,,,,,,,,,,,
"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.","{'entity_group': 'ORG', 'score': 0.9997859, 'word': 'Division of Nephrology-Hypertension', 'start': 0, 'end': 35}","{'entity_group': 'ORG', 'score': 0.99992055, 'word': 'University of California San Diego', 'start': 37, 'end': 71}","{'entity_group': 'LOC', 'score': 0.99998903, 'word': 'San Diego', 'start': 73, 'end': 82}","{'entity_group': 'LOC', 'score': 0.9999908, 'word': 'California', 'start': 84, 'end': 94}","{'entity_group': 'ORG', 'score': 0.983613, 'word': '.', 'start': 94, 'end': 95}",,,,,,,,,,
"Université de Paris Cité, INSERM, PARCC, Paris Institute for Transplantation and Organ Regeneration, Paris, France.","{'entity_group': 'ORG', 'score': 0.99995404, 'word': 'Université de Paris Cité', 'start': 0, 'end': 24}","{'entity_group': 'ORG', 'score': 0.9999838, 'word': 'INSERM', 'start': 26, 'end': 32}","{'entity_group': 'ORG', 'score': 0.9999229, 'word': 'PARCC', 'start': 34, 'end': 39}","{'entity_group': 'ORG', 'score': 0.99954283, 'word': 'Paris Institute for Transplantation and Organ Regeneration', 'start': 41, 'end': 99}","{'entity_group': 'LOC', 'score': 0.9999956, 'word': 'Paris', 'start': 101, 'end': 106}","{'entity_group': 'LOC', 'score': 0.99999654, 'word': 'France', 'start': 108, 'end': 114}",,,,,,,,,
"Unit of Infectious Diseases, Division of General Pediatrics, Department of Pediatrics, Gynecology and Obstetrics, Geneva University Hospitals and University of Geneva, Geneva, Switzerland.","{'entity_group': 'ORG', 'score': 0.9749551, 'word': 'Unit of Infectious Diseases', 'start': 0, 'end': 27}","{'entity_group': 'ORG', 'score': 0.9986993, 'word': 'Division of General Pediatrics', 'start': 29, 'end': 59}","{'entity_group': 'ORG', 'score': 0.9988632, 'word': 'Department of Pediatrics, Gynecology and Obstetrics', 'start': 61, 'end': 112}","{'entity_group': 'ORG', 'score': 0.6231805, 'word': 'Gene', 'start': 114, 'end': 118}","{'entity_group': 'LOC', 'score': 0.50822484, 'word': 'va', 'start': 118, 'end': 120}","{'entity_group': 'ORG', 'score': 0.82816166, 'word': 'University Hospitals', 'start': 121, 'end': 141}","{'entity_group': 'ORG', 'score': 0.99982274, 'word': 'University of Geneva', 'start': 146, 'end': 166}","{'entity_group': 'LOC', 'score': 0.9999926, 'word': 'Geneva', 'start': 168, 'end': 174}","{'entity_group': 'LOC', 'score': 0.99999404, 'word': 'Switzerland', 'start': 176, 'end': 187}","{'entity_group': 'ORG', 'score': 0.5117121, 'word': '.', 'start': 187, 'end': 188}",,,,,
"Department of Pediatric Nephrology, Hôpital des Enfants, CHU Toulouse, Toulouse, France.","{'entity_group': 'ORG', 'score': 0.93626714, 'word': 'Department of Pediatric Nephrology', 'start': 0, 'end': 34}","{'entity_group': 'LOC', 'score': 0.9979204, 'word': 'Hôpital des Enfants', 'start': 36, 'end': 55}","{'entity_group': 'ORG', 'score': 0.8914147, 'word': 'CHU Toulouse', 'start': 57, 'end': 69}","{'entity_group': 'LOC', 'score': 0.99999, 'word': 'Toulouse', 'start': 71, 'end': 79}","{'entity_group': 'LOC', 'score': 0.9999963, 'word': 'France', 'start': 81, 'end': 87}",,,,,,,,,,
"Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven, Belgium.","{'entity_group': 'ORG', 'score': 0.99984866, 'word': 'Department of Microbiology, Immunology and Transplantation', 'start': 0, 'end': 58}","{'entity_group': 'ORG', 'score': 0.999925, 'word': 'KU Leuven', 'start': 60, 'end': 69}","{'entity_group': 'LOC', 'score': 0.9999933, 'word': 'Leuven', 'start': 71, 'end': 77}","{'entity_group': 'LOC', 'score': 0.9999919, 'word': 'Belgium', 'start': 79, 'end': 86}","{'entity_group': 'ORG', 'score': 0.8886165, 'word': '.', 'start': 86, 'end': 87}",,,,,,,,,,
"Department of Inter-Organ Communication Research in Kidney Diseases, Osaka University Graduate School of Medicine, Suita, Osaka, Japan.","{'entity_group': 'ORG', 'score': 0.9814071, 'word': 'Department of Inter-Organ Communication Research', 'start': 0, 'end': 48}","{'entity_group': 'ORG', 'score': 0.99892026, 'word': 'Osaka University Graduate School of Medicine', 'start': 69, 'end': 113}","{'entity_group': 'LOC', 'score': 0.9989623, 'word': 'Suita', 'start': 115, 'end': 120}","{'entity_group': 'LOC', 'score': 0.9999906, 'word': 'Osaka', 'start': 122, 'end': 127}","{'entity_group': 'LOC', 'score': 0.9999945, 'word': 'Japan', 'start': 129, 'end': 134}","{'entity_group': 'ORG', 'score': 0.62942845, 'word': '.', 'start': 134, 'end': 135}",,,,,,,,,
"INSERM U1151, service des explorations fonctionnelles hôpital Necker-Enfants Malades, DMU Biophygen, GHU Centre Université de Paris APHP. Paris, France.","{'entity_group': 'ORG', 'score': 0.9998782, 'word': 'INSERM', 'start': 0, 'end': 6}","{'entity_group': 'LOC', 'score': 0.9696816, 'word': 'Necker-Enfants Malades', 'start': 62, 'end': 84}","{'entity_group': 'ORG', 'score': 0.9128033, 'word': 'DMU Biophygen', 'start': 86, 'end': 99}","{'entity_group': 'ORG', 'score': 0.9883814, 'word': 'GHU Centre Université de Paris APHP', 'start': 101, 'end': 136}","{'entity_group': 'LOC', 'score': 0.9999918, 'word': 'Paris', 'start': 138, 'end': 143}","{'entity_group': 'LOC', 'score': 0.9999962, 'word': 'France', 'start': 145, 'end': 151}",,,,,,,,,
"Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Ranica, Italy.","{'entity_group': 'ORG', 'score': 0.99997383, 'word': 'Istituto di Ricerche Farmacologiche Mario Negri IRCCS', 'start': 0, 'end': 53}","{'entity_group': 'ORG', 'score': 0.9964098, 'word': 'Clinical Research Center for Rare Diseases Aldo e Cele Daccò', 'start': 55, 'end': 115}","{'entity_group': 'LOC', 'score': 0.99996924, 'word': 'Ranica', 'start': 117, 'end': 123}","{'entity_group': 'LOC', 'score': 0.9999914, 'word': 'Italy', 'start': 125, 'end': 130}",,,,,,,,,,,
"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.","{'entity_group': 'ORG', 'score': 0.9998571, 'word': 'Department of Medicine', 'start': 0, 'end': 22}","{'entity_group': 'ORG', 'score': 0.99964505, 'word': 'University of Alabama at Birmingham', 'start': 24, 'end': 59}","{'entity_group': 'ORG', 'score': 0.85665196, 'word': 'VA Birmingham Health Care', 'start': 64, 'end': 89}","{'entity_group': 'LOC', 'score': 0.9999826, 'word': 'Birmingham', 'start': 91, 'end': 101}","{'entity_group': 'LOC', 'score': 0.99998784, 'word': 'Alabama', 'start': 103, 'end': 110}",,,,,,,,,,
"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.","{'entity_group': 'ORG', 'score': 0.9993006, 'word': 'University of Alabama at Birmingham', 'start': 0, 'end': 35}","{'entity_group': 'LOC', 'score': 0.97627133, 'word': 'Heersink School of Medicine', 'start': 37, 'end': 64}","{'entity_group': 'LOC', 'score': 0.99996054, 'word': 'Birmingham', 'start': 66, 'end': 76}","{'entity_group': 'LOC', 'score': 0.9999825, 'word': 'Alabama', 'start': 78, 'end': 85}","{'entity_group': 'LOC', 'score': 0.9999795, 'word': 'USA', 'start': 87, 'end': 90}",,,,,,,,,,
