,Unnamed: 0,ORG_SET,LOC_SET
14,"Department of Molecular and Clinical Medicine, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.","{'Institute of Medicine', 'University of Gothenburg', 'Department of Molecular and Clinical Medicine', 'Sahlgrenska Academy'}","{'Gothenburg', 'Sweden'}"
15,"Division of Nephrology, Yale University, New Haven, Connecticut.","{'Division of Nephrology', 'Yale University'}","{'Connecticut', 'New Haven'}"
16,"Renal-Electrolyte and Hypertension Division, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA","{'Renal-Electrolyte and Hypertension Division', 'University of Pennsylvania', 'Pere'}","{'Pennsylvania', 'USA', 'Philadelphia', 'lman School', 'Medicine'}"
17,"Ludwig Boltzmann Institute for Osteology at the Hanusch Hospital of OEGK and AUVA Trauma Centre Meidling, 1st Medical Department, Hanusch Hospital, Vienna, Austria.","{'OEGK', 'Ludwig Boltzmann Institute for Osteology', 'id', 'AUVA Traum'}","{'Vienna', 'Austria', 'Hanusch Hospital'}"
18,"Department of Obstetrics and Gynecology, University of Washington, Seattle, WA.","{'University of Washington', 'Department of Obstetrics and Gynecology'}","{'Seattle', 'WA'}"
19,"Institute of Pathology, University Hospital Tübingen, Tübingen, Germany.",{'Institute of Pathology'},"{'Germany', 'Tübingen', 'University Hospital Tübingen'}"
20,"Department of Medicine, University of Hong Kong, Queen Mary Hospital, Pokfulam, Hong Kong.","{'Department of Medicine', 'University of Hong Kong'}","{'Hong Kong', 'Pokfulam', 'Queen Mary Hospital'}"
21,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada. Electronic address: istvan.mucsi@utoronto.ca.","{'ca', 'University Health Network', 'utoronto', 'Ajmera Transplant Centre'}","{'Ontario', 'Canada', 'Toronto'}"
22,"Department of Obstetrics and Gynecology, Xijing Hospital, The Fourth Military Medical University, Xi'an, People's Republic of China.","{'The Fourth Military Medical University', 'Department of Obstetrics and Gynecology'}","{""People's Republic of China"", 'Xijing Hospital', ""Xi'an""}"
23,"Department of Obstetrics, Gynecology and Reproductive Medicine, Hopital Foch, Suresnes, France.","{'Department of Obstetrics, Gynecology and Reproductive Medicine'}","{'France', 'Hopital Foch', 'Suresnes'}"
24,"Department of Internal Medicine, College of Medicine, Institute of Kidney Disease Research, Yonsei University, Seoul.","{'Department of Internal Medicine', 'College of Medicine', 'Yonsei University', 'Institute of Kidney Disease Research'}",{'Seoul'}
25,"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.","{'Texas Heart Institute', 'Department of Regenerative Medicine Research'}","{'TX', 'Houston'}"
26,"LIM 12, Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil.","{'Faculdade de Medicina da Universidade de São Paulo', 'LIM'}","{'Brazil', 'São Paulo'}"
27,"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.","{'Division of Transplantation', 'University of Maryland School of Medicine', 'Department of Surgery', 'Department of Microbiology and Immunology'}","{'MD', 'Baltimore'}"
28,"Multi-Organ Transplant Program, Ajmera Transplant Center, University of Toronto, Toronto, ON, Canada.",{'University of Toronto'},"{'Ajmera Transplant Center', 'ON', 'Canada', 'Toronto'}"
29,"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.","{'Division of Nephrology', 'Columbia University', 'Department of Medicine'}",{'New York'}
30,"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",{'of'},"{'Department', 'USA', 'Cedars-Sinai Medical Center', 'Los Angeles', 'California', 'Medicine'}"
31,"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco","{'Department Epidemiology and Biostatistics', 'University of California at San Francisco'}",{'San Francisco'}
32,"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.","{'University of California San Diego', 'Division of Nephrology-Hypertension'}","{'California', 'San Diego'}"
33,"Université de Paris Cité, INSERM, PARCC, Paris Institute for Transplantation and Organ Regeneration, Paris, France.","{'Paris Institute for Transplantation and Organ Regeneration', 'INSERM', 'PARCC', 'Université de Paris Cité'}","{'France', 'Paris'}"
34,"Unit of Infectious Diseases, Division of General Pediatrics, Department of Pediatrics, Gynecology and Obstetrics, Geneva University Hospitals and University of Geneva, Geneva, Switzerland.","{'University Hospitals', 'Unit of Infectious Diseases', 'Department of Pediatrics, Gynecology and Obstetrics', 'Division of General Pediatrics', 'University of Geneva', 'Gene'}","{'Geneva', 'Switzerland', 'va'}"
35,"Department of Pediatric Nephrology, Hôpital des Enfants, CHU Toulouse, Toulouse, France.","{'CHU Toulouse', 'Department of Pediatric Nephrology'}","{'Hôpital des Enfants', 'France', 'Toulouse'}"
36,"Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven, Belgium.","{'KU Leuven', 'Department of Microbiology, Immunology and Transplantation'}","{'Belgium', 'Leuven'}"
37,"Department of Inter-Organ Communication Research in Kidney Diseases, Osaka University Graduate School of Medicine, Suita, Osaka, Japan.","{'Department of Inter-Organ Communication Research', 'Osaka University Graduate School of Medicine'}","{'Suita', 'Japan', 'Osaka'}"
38,"INSERM U1151, service des explorations fonctionnelles hôpital Necker-Enfants Malades, DMU Biophygen, GHU Centre Université de Paris APHP. Paris, France.","{'INSERM', 'GHU Centre Université de Paris APHP', 'DMU Biophygen'}","{'France', 'Necker-Enfants Malades', 'Paris'}"
39,"Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Ranica, Italy.","{'Clinical Research Center for Rare Diseases Aldo e Cele Daccò', 'Istituto di Ricerche Farmacologiche Mario Negri IRCCS'}","{'Italy', 'Ranica'}"
40,"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.","{'Department of Medicine', 'University of Alabama at Birmingham', 'VA Birmingham Health Care'}","{'Birmingham', 'Alabama'}"
41,"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.",{'University of Alabama at Birmingham'},"{'Birmingham', 'Alabama', 'USA', 'Heersink School of Medicine'}"
42,"Clinical Research Academy, Peking University Shenzhen Hospital, Peking University, Shenzhen, China",{'Clinical Research Academy'},"{'Peking University Shenzhen Hospital', 'China', 'Shenzhen', 'Peking University'}"
43,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada.","{'Transplant Centre', 'Health Network'}","{'Canada', 'Ajmera', 'Ontario', 'Toronto', 'University'}"
44,"Division of Nephrology, Department of Medicine, Hamilton Health Sciences Centre, McMaster University, Hamilton, Ontario, Canada.","{'Division of Nephrology', 'McMaster University', 'Department of Medicine'}","{'Ontario', 'Hamilton Health Sciences Centre', 'Hamilton', 'Canada'}"
45,"School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas.","{'University of Texas Health Science Center at', 'School of Public Health'}","{'Houston', 'Texas'}"
46,"Division of Transplantation, Department of Surgery, University of California, San Francisco, California, USA. Electronic address: qizhi.tang@ucsf.edu.","{'Division of Transplantation', 'ucsf', 'Department of Surgery', 'University of California', 'edu'}","{'California', 'San Francisco', 'USA'}"
47,"The Liver Unit, King's College Hospital, London, United Kingdom.",{'Liver Unit'},"{""King's College Hospital"", 'London', 'United Kingdom'}"
48,"Department of Immunology, Transplant Medicine and Internal Diseases, Medical University of Warsaw, Warsaw, Poland.","{'Medical University of Warsaw', 'Department of Immunology, Transplant Medicine and Internal Diseases'}","{'Poland', 'Warsaw'}"
49,"Department of Oncology, University of Alberta, Edmonton, Alberta, Canada.","{'University of Alberta', 'Department of Oncology'}","{'Alberta', 'Edmonton', 'Canada'}"
50,"Division of Abdominal Transplantation, Department of Surgery and Perioperative Care, Dell Medical School at the University of Texas at Austin, Austin, Texas, USA.","{'Department of Surgery and Perioperative Care', 'Division of Abdominal Transplantation', 'University of Texas at Austin'}","{'Dell Medical School', 'Austin', 'USA', 'Texas'}"
51,"National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University. Electronic address: ffhouguangzhou@163.com.","{'State Key Laboratory of Organ Failure Research', 'ho', 'National Clinical Research Center for Kidney Disease', 'Southern Medical University'}","{'zhou', 'Nanfang Hospital'}"
52,"Department of Infectious Diseases, Ramón y Cajal University Hospital, Madrid, Spain.","{'us Diseases', 'Department of Infec'}","{'Madrid', 'Spain', 'Ramón y Cajal University Hospital'}"
53,"Life Sciences Institute, Zhejiang University, Hangzhou, People's Republic of China.","{'Zhejiang University', 'Life Sciences Institute'}","{""People's Republic of China"", 'Hangzhou'}"
54,"Department of Nephrology, CH Pontoise, Pontoise, France.",{'Department of Nephrology'},"{'Pontoise', 'CH Pontoise', 'France'}"
55,"Institute of Medical Immunology, Virchow - Klinikum, Berlin, Germany. Electronic address: birgit.sawitzki@bih-charite.de.","{'Institute of Medical Immunology', 'bih-charite.de.'}","{'Klinikum', 'Germany', 'Berlin', 'Virchow'}"
56,"Department of Internal Medicine, Boramae Medical Center, Seoul, Korea",{'Department of Internal Medicine'},"{'Boramae Medical Center', 'Seoul', 'Korea'}"
57,"Division of Cardiovascular Disease, University of Alabama-Birmingham, Birmingham, Alabama.","{'Division of Cardiovascular Disease', 'University of Alabama-Birmingham'}","{'Birmingham', 'Alabama'}"
58,"Research Institute, Ottawa Hospital, Ottawa, Ontario, Canada.",{'Research Institute'},"{'Ontario', 'Ottawa', 'Canada', 'Ottawa Hospital'}"
59,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris.","{'Department of Nephrology', 'ance Publique'}","{'-Hôpitaux de Paris', 'Assist', 'Paris', 'Hôpital Européen Georges Pompidou'}"
60,"Department of Internal Medicine, Division of Nephrology and Transplantation, Erasmus Medical Center, Rotterdam, The Netherlands.","{'Department of Internal Medicine', 'Division of Nephrology and Transplantation'}","{'The Netherlands', 'Erasmus Medical Center', 'Rotterdam'}"
61,"Department of Urology, and Kangbuk Samsung Hospital, School of Medicine, Sungkyunkwan University, Seoul, South Korea.","{'Sungkyunkwan University', 'Department of Urology', 'of Medicine'}","{'School', 'Seoul', 'Kangbuk Samsung Hospital', 'South Korea'}"
62,"Department of Hepatobiliary and Liver Transplant Surgery, St. James's University Hospital, Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom.","{'Leeds Teaching Hospitals NHS Trust', 'Department of Hepatobiliary', 'Live'}","{'Leeds', ""St. James's University Hospital"", 'United Kingdom'}"
63,"Department of Nephrology, Limoges University hospital","{'of Nephrology', 'Limoges University'}",set()
64,"Clinical and Diagnostic Immunology, Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven","{'Department of Microbiology, Immunology and Transplantation', 'Clinical and Diagnos', 'KU Leuven', 'Immunology'}",{'Leuven'}
65,"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina","{'School of Medicine', 'Duke University', 'Division of General Internal Medicine'}","{'North Carolina', 'Durham'}"
66,"Department of Medicine, Division of Hematology, University of Ottawa, Ottawa, Ontario, Canada.","{'Department of Medicine', 'Hematology', 'Division', 'University of Ottawa'}","{'Ontario', 'Ottawa', 'Canada'}"
67,"Nuffield Department of Surgical Sciences, University of Oxford, Oxford, United Kingdom.","{'University of Oxford', 'Nuffield Department of Surgical Sciences'}","{'United Kingdom', 'Oxford'}"
68,"Department of Nephrology and Transplantation, University Hospital, Strasbourg.",{'Department of Nephrology and Transplantation'},"{'University Hospital', 'Strasbourg'}"
69,"Thoracic Intensive Care Unit, Foch Hospital, Suresnes, France.",set(),"{'France', 'Suresnes', 'Foch Hospital', 'Thor'}"
70,"Department of Urology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.","{'Urology', 'Shandong First Medical University'}","{'Shandong', 'Shandong Provincial Hospital', 'China', 'Jinan'}"
71,"GlaxoSmithKline, Collegeville, PA.",{'GlaxoSmithKline'},"{'Collegeville', 'PA'}"
72,"Institute of Pathology, Nephropathology Section, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.","{'Nephropathology Section', 'University Medical Center', 'Institute of Pathology'}","{'Hamburg-Eppendorf', 'Germany', 'Hamburg'}"
73,"Department of Critical Care Medicine, Sunnybrook Health Sciences Center, University of Toronto, Toronto, Ontario, Canada.","{'Department of Critic', 'Care Medicine', 'University of Toronto'}","{'Ontario', 'Sunnybrook Health Sciences Center', 'Canada', 'Toronto'}"
74,"Department of Surgery, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, USA.","{'Atrium Health Wake', 'Baptist'}","{'North Carolina', 'Forest', 'Winston-Salem', 'USA'}"
75,"Department of Clinical Chemistry, CIRM, CHU de Liège, University of Liège, Liège, Belgium.","{'University of Liège', 'CIRM', 'Department of Clinical Chemistry', 'CHU de Liège'}","{'Belgium', 'Liège'}"
76,"Department of Nephrology, Charité Universitätsmedizin Berlin, Berlin, Germany.","{'Department of Nephrology', 'Charité Universitätsmedizin Berlin'}","{'Germany', 'Berlin'}"
77,"Pediatric Nephrology Institute, Rambam Health Care Campus, Haifa, Israel.",{'Pediatric Nephrology Institute'},"{'Israel', 'Rambam Health Care Campus', 'Haifa'}"
78,"Division of Nephrology, University of California San Francisco, San Francisco, California.","{'Division of Nephrology', 'University of California San Francisco'}","{'California', 'San Francisco'}"
79,"Division of Nephrology and Transplant, Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.","{'Department of Medicine', 'Indiana University School of Medicine', 'Division of Nephrology and Transplant'}","{'Indiana', 'Indianapolis', 'USA'}"
80,"Division of Thoracic Surgery, Department of Surgery, University of Toronto, Toronto, Ontario, Canada","{'Department of Surgery', 'Division of Thoracic Surgery', 'University of Toronto'}","{'Ontario', 'Canada', 'Toronto'}"
81,"Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.","{'Department of Quantitative Health Sciences', 'Mayo Clinic'}","{'Jacksonville', 'FL'}"
82,"Department of Surgery and Emory Transplant Center, Emory University, Atlanta, Georgia, USA.","{'Emory University', 'Department of Surgery and Emory Transplant Center'}","{'Atlanta', 'Georgia', 'USA'}"
83,"Department of Surgery and Transplantation, Virgen de la Arrixaca University Hospital, Murcia, Spain.","{'Sur', 'Department', 'Transplantation'}","{'Murcia', 'Virgen de la Arrixaca University Hospital', 'Spain'}"
84,"Department of Urology, Columbia University Irving Medical Center, New York, New York.","{'Urology', 'Department'}","{'Columbia University Irving Medical Center', 'New York'}"
85,"Specialist Haemostasis Laboratory, Cambridge University Hospitals National Health Service Trust, Cambridge, United Kingdom.","{'Specialist Haemostasis Laboratory', 'Cambridge University Hospitals National Health Service Trust'}","{'Cambridge', 'United Kingdom'}"
86,"Department of Cardiology , Texas Heart Institute , Houston , Texas.","{'Department of Cardiology', 'Texas Heart Institute'}","{'Houston', 'Texas'}"
87,"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.","{'University of Pittsburgh', 'Thomas E. Starzl Transplant Institute'}","{'Pittsburgh', 'Pennsylvania', 'USA'}"
88,"Department of Medicine (Nephrology), Stanford University, Palo Alto, California.","{'Department of Medicine', 'Nephrology', 'Stanford University'}","{'California', 'Palo Alto'}"
89,"Department of Rheumatology and Immunology, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.","{'Rheumatology and Immunology', 'Department', 'Central South University'}","{'Changsha', 'Hunan', 'China', 'Second Xiangya Hospital'}"
90,"Department of Oncology, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: 554813360@qq.com.","{'First Affiliate', 'of Chongqing Medical University', 'qq', 'Department of Oncology'}","{'Chongqing', 'Hospital', ""People's Republic of China""}"
91,"Department of Systems Biology and Columbia Genome Center, Columbia University, New York, New York.","{'Columbia University', 'Department of Systems Biology and Columbia Genome Center'}",{'New York'}
92,"Princess Alexandra Hospital, Woolloongabba.",set(),"{'Princess Alexandra Hospital', 'Woolloongabba.'}"
93,"Concord Repatriation General Hospital, Concord, Australia.",set(),"{'Australia', 'Concord Repatriation General Hospital', 'Concord'}"
94,"Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.","{'Division of Nephrology', 'University of Texas', 'Department of Medicine'}","{'Southwestern Medical Center', 'Dallas', 'Texas'}"
95,Paris University,{'Paris University'},set()
96,"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD. Electronic address: chirag.parikh@jhmi.edu.","{'Department of Medicine', 'jhmi', 'edu.', 'Division of Nephrology', 'Johns Hopkins University School of'}","{'Baltimore', 'MD', 'Medicine'}"
97,"Division of Nephrology, Department of Medicine, Duke University, Durham, North Carolina","{'Division of Nephrology', 'Duke University', 'Department of Medicine'}","{'North Carolina', 'Durham'}"
98,"Department of Dermatology, Ninewells Hospital and Medical School, Dundee, United Kingdom.","{'Dermatology', 'Department'}","{'United Kingdom', 'Dundee', 'Ninewells Hospital and Medical School'}"
99,"Division of General Internal Medicine and Hospital Medicine, University of Colorado, Anschutz Medical Campus, Aurora, Colorado.","{'University of Colorado', 'Division of General Internal Medicine and Hospital Medicine'}","{'Colorado', 'Aurora', 'Anschutz Medical Campus'}"
100,"Glickman Urology and Kidney and Lerner Research Institutes , Cleveland Clinic , and Departments of Molecular Medicine and Physiology and Biophysics , Case Western Reserve University, Cleveland , Ohio.","{'Glickman Urology and Kidney and Lerner Research Institutes', 'Departments of Molecular Medicine and Physiology and Biophysic', 'Cleveland Clinic', 'Case Western Reserve University'}","{'Cleveland', 'Ohio'}"
101,"Starzl Transplantation Institute, Department of Surgery and Department of Immunology, University of Pittsburgh School of Medicine, Pittsburgh, PA.","{'Department of Surgery', 'Starzl Transplantation Institute', 'Department of Immunology', 'University of Pittsburgh School of Medicine'}","{'Pittsburgh', 'PA'}"
102,"Department of Pediatric Nephrology, Hôpital Trousseau, Paris, France.",{'Department of Pediatric Nephrology'},"{'France', 'Hôpital Trousseau', 'Paris'}"
103,"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN.","{'Mayo Clinic', 'Division of Nephrology and Hypertension'}","{'MN', 'Rochester'}"
104,"Division of Nephrology, Department of Medicine, Department of Veterans Affairs Medical Center, University of Alabama at Birmingham, Birmingham, Alabama.","{'Division of Nephrology', 'Department of', 'University of Alabama at'}","{'Department of Veterans Affairs Medical Center', 'Birmingham', 'Alabama', 'Medicine'}"
105,"Division of Vascular Surgery and Endovascular Therapy, University of Florida, Gainesville, Florida.","{'University of Florida', 'Division of Vascular Surgery and Endovascular Therapy'}","{'Gainesville', 'Florida'}"
106,"Imperial College Renal and Transplant Centre, Hammersmith Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom.","{'Imperial College Healthcare NHS Trust', 'Trans', 'Imperial College Ren'}","{'United Kingdom', 'London', 'Hammersmith Hospital'}"
107,"Medical School, University of Western Australia, Perth, Western Australia, Australia","{'Medical School', 'University of Western Australia'}","{'Australia', 'Western Australia', 'Perth'}"
108,"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN.","{'University of Minnesota', 'Department of Laboratory Medicine and Pathology'}","{'Minneapolis', 'MN'}"
109,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital/Harvard Medical School, Boston, Massachusetts, USA. Electronic address: dkcooper@mgh.harvard.edu.","{'harvard', 'Department of Surgery', 'Center for Transplantation Sciences', 'mgh'}","{'Boston', 'Massachusetts General Hospital/Harvard Medical School', 'Massachusetts', 'USA'}"
110,"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.","{'Penn State College of Medicine', 'Department of Public Health Sciences'}","{'Pennsylvania', 'Hershey'}"
111,"Biotechnology and Methods in Laboratory Medicine, University of Bologna, Bologna.",{'University of Bologna'},{'Bologna'}
112,"Sherrie and Alan Conover Center for Liver Disease and Transplantation, Houston Methodist Hospital, Houston, TX.",{'Alan Conover Center for Liver Disease and Transplantation'},"{'TX', 'Houston', 'and', 'Houston Methodist Hospital'}"
113,"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio, USA.","{'Department of Quantitative Health Sciences', 'Cleveland Clinic'}","{'Cleveland', 'Ohio', 'USA'}"
114,"Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.","{'University of Maryland School of Medicine', 'Department of Surgery'}","{'Maryland', 'USA.', 'Baltimore'}"
115,"Division of Immunology and Allergy, Department of Paediatrics, the Hospital for Sick Children, Toronto, Ontario, Canada.","{'Department of Paediatrics', 'Division of Immunology and Allergy'}","{'Ontario', 'Hospital for Sick Children', 'Canada', 'Toronto'}"
116,"Department of Nephrology, Guy's St Thomas Hospital, London, United Kingdom.",{'Department of Nephrology'},"{'London', ""Guy's St Thomas Hospital"", 'United Kingdom'}"
117,"Veterans Affairs San Diego Healthcare System, San Diego, CA.",{'Veterans Affairs San Diego Healthcare System'},"{'CA', 'San Diego'}"
118,"Department of Medical Epidemiology and Biostatistics, Karolinska Institute, Stockholm, Sweden.","{'Karolinska Institute', 'Department of Medical Epidemiology and Biostatistics'}","{'Sweden', 'Stockholm'}"
119,"Division of Gastroenterology and Hepatology, University of California, San Francisco, California, USA.","{'University of California', 'Division of Gastroenterology and Hepatology'}","{'California', 'San Francisco', 'USA'}"
120,"Liver Unit, Birmingham Women's and Children's Hospital, Birmingham, United Kingdom.",set(),"{'Birmingham', ""Birmingham Women's and Children's Hospital"", 'United Kingdom'}"
121,"Global Medical Office, FMC Germany, Bad Homburg, Germany.","{'Global Medical Office', 'FMC Germany'}","{'Bad Homburg', 'Germany'}"
122,"Institute of Health Policy, Management, and Evaluation, University of Toronto, Toronto, Ontario, Canada","{'Institute of Health Policy, Management, and Evaluation', 'University of Toronto'}","{'Ontario', 'Canada', 'Toronto'}"
123,"School of Exercise and Nutrition Sciences, Queensland University of Technology, Brisbane, Australia","{'Queensland University of Technology', 'School of Exercise and Nutrition Sciences'}","{'Brisbane', 'Australia'}"
124,"Section of Endocrinology, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.","{'Section of Endocrinology', 'Department of Internal Medicine', 'Yale University School of Medicine'}","{'Connecticut', 'New Haven'}"
125,"Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.","{'Division of Nephrology', 'Department of Internal Medicine', 'University of Michigan'}","{'Michigan', 'Ann Arbor'}"
126,"Department of Medicine, Houston Methodist Hospital, Houston, Texas.",set(),"{'Houston', 'Texas', 'Houston Methodist Hospital'}"
127,"UT Southwestern Medical Center, Dallas, Texas, USA.",{'UT'},"{'Southwestern Medical Center', 'USA', 'Dallas', 'Texas'}"
128,"Division of Renal Pathology, Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, Maryland.","{'Division of Renal Pathology', 'Department of Pathology', 'Johns Hopkins University School of'}","{'Maryland', 'Baltimore', 'Medicine'}"
129,"Department of Medicine, New York University Grossman School of Medicine, New York, New York.","{'Department of Medicine', 'New York University'}","{'New York', 'Grossman School of Medicine'}"
130,"Department of Nephrology and Rheumatology, University Medical Center Göttingen, Germany.","{'Department of Nephrology and Rheumatology', 'University Medical Center Göttingen'}",{'Germany'}
131,"Department of Medicine, University of California San Francisco at the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, CA","{'Department of Medicine', 'University of California San Francisco'}","{'CA', 'Pris', 'San Francisco', 'and Mark Zuckerberg San Francisco General Hospital'}"
132,"Department of Infectious Diseases, Hospital Clinic - IDIBAPS, University of Barcelona, Barcelona, Spain.","{'University of Barcelona', 'IDIBAPS', 'Department of Infectious Diseases'}","{'Barcelona', 'Spain'}"
133,"Cumming School of Medicine , University of Calgary , Calgary, Canada, and.","{'University of Calgary', 'Cumming School of Medicine'}","{'Canada', 'Calgary'}"
134,"Department of General Internal Medicine, Medical Intensive Care Unit, UZ Leuven, Leuven, Belgium.",{'UZ Leuven'},"{'Belgium', 'Leuven'}"
135,"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",{'University of North Carolina at'},"{'Chapel Hill', 'Lineberger Comprehen', 'USA', 'North Carolina', 'Cancer Center'}"
136,"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.","{'Tulane University School of Public Health and', 'Department of Epidemiology', 'ical Medicine'}","{'Trop', 'LA', 'New Orleans'}"
137,"Department of Surgery, Duke Transplant Center, Duke University School of Medicine, Duke Clinical Research Institute, Durham, North Carolina, USA. Electronic address: stuart.knechtle@duke.edu.","{'Duke University School of Medicine', 'Duke Transplant Center', 'Department of Surgery', 'Duke Clinical Research Institute', 'edu', 'duke'}","{'North Carolina', 'Durham', 'USA'}"
138,"UNC Blood Research Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina","{'UNC Blood Research Center', 'University of North Carolina at Chapel Hill'}","{'North Carolina', 'Chapel Hill'}"
139,"Liver Transplant Center, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China","{'Liver Transplant Center', 'Zhejiang University School of Medicine'}","{'China', 'Hangzhou'}"
140,"Department of Immunology, Genetics and Pathology, Section of Clinical Immunology, Uppsala University, Sweden. Electronic address: david.berglund@itb-med.com.","{'Section of Clinical Immunology', 'Uppsala University', 'Department of Immunology, Genetics and Pathology', 'itb-med.com'}",{'Sweden'}
