,aff,parent
33,"Division of Nephrology, Department of Medicine, Duke University, Durham, North Carolina",Duke University]US
34,"Division of General Internal Medicine and Hospital Medicine, University of Colorado, Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
35,"Glickman Urology and Kidney and Lerner Research Institutes , Cleveland Clinic , and Departments of Molecular Medicine and Physiology and Biophysics , Case Western Reserve University, Cleveland , Ohio.",Case Western Reserve University]US
36,"Starzl Transplantation Institute, Department of Surgery and Department of Immunology, University of Pittsburgh School of Medicine, Pittsburgh, PA.",University of Pittsburgh]US
37,"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
38,"Division of Nephrology, Department of Medicine, Department of Veterans Affairs Medical Center, University of Alabama at Birmingham, Birmingham, Alabama.",VA Health Systems Research]US
39,"Division of Vascular Surgery and Endovascular Therapy, University of Florida, Gainesville, Florida.",University of Florida]US
40,"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN.",University of Minnesota]US
41,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital/Harvard Medical School, Boston, Massachusetts, USA. Electronic address: dkcooper@mgh.harvard.edu.",Harvard University]US
42,"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.",Pennsylvania State University]US
43,"Sherrie and Alan Conover Center for Liver Disease and Transplantation, Houston Methodist Hospital, Houston, TX.",Cornell University]US
44,"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio, USA.",Case Western Reserve University]US
45,"Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.",University of Maryland]US
46,"Veterans Affairs San Diego Healthcare System, San Diego, CA.",VA Health Systems Research]US
47,"Division of Gastroenterology and Hepatology, University of California, San Francisco, California, USA.",University of California]US
48,"Section of Endocrinology, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.",Yale University]US
49,"Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
50,"Department of Medicine, Houston Methodist Hospital, Houston, Texas.",Cornell University]US
51,"UT Southwestern Medical Center, Dallas, Texas, USA.",University of Texas]US
52,"Division of Renal Pathology, Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, Maryland.",Johns Hopkins University]US
53,"Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
54,"Department of Medicine, University of California San Francisco at the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, CA",University of California]US
55,"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",University of North Carolina]US
56,"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.",Tulane University]US
57,"Department of Surgery, Duke Transplant Center, Duke University School of Medicine, Duke Clinical Research Institute, Durham, North Carolina, USA. Electronic address: stuart.knechtle@duke.edu.",Duke University]US
58,"UNC Blood Research Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",University of North Carolina]US
59,"Department of Family Medicine, La Maestra Community Health Centers, San Diego, California.",La Maestra Community Health Centers]US
60,"Travere Therapeutics, Inc., San Diego, California.",Travere Inc]US
61,"The Rogosin Institute, New York, New York.",Cornell University]US
62,"Department of Medicine, University of Nebraska Medical Center, Omaha, Nebraska, USA.",University of Nebraska]US
63,"Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD.",Johns Hopkins University]US
64,"University of Utah Health and VA Salt Lake City Health Care System, Salt Lake City, Utah.",University of Utah]US
65,"Division of Precision Medicine, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
66,"Center for Drug Safety and Effectiveness, Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
67,"Department of Pediatrics, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
68,"Division of Infectious Diseases, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.",Tufts University]US
69,"Henry Ford Hospital, Detroit, Michigan, USA.",Henry Ford Health]US
70,"Department of Medicine, University of California, Los Angeles, California.",University of California]US
71,"Department of Pediatrics, Riley Hospital for Children at Indiana University Health, Indianapolis, Indiana.",Indiana University]US
72,"Department of Family Medicine and Public Health, UC San Diego, La Jolla, CA.",University of California]US
73,"Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.",University of Pennsylvania]US
74,"Department of Pediatrics, Division of Pediatric Nephrology, Masonic Children's Hospital, University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
75,"Department of Surgery,College of Medicine,University of Florida, Gainesville,Florida,USA.",University of Florida]US
76,"Transplant Branch, Division of Allergy, Immunology and Transplantation, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Rockville, Maryland.",National Institutes of Health]US
77,"Division of Nephrology and Hypertension, University of North Carolina, Chapel Hill, North Carolina.",University of North Carolina]US
78,"Colorado Center for Transplantation Care, Research and Education, Aurora, Colorado, USA.",University of Colorado]US
79,"Division of Nephrology, Department of Medicine, School of Medicine, Stanford University, Stanford. Electronic address: mstedman@stanford.edu.",Stanford University]US
80,"NYU Health Sciences Library, NYU Grossman School of Medicine, NYU Langone Health, New York, New York.",New York University]US
81,"Division of Nephrology, Department of Medicine, University of California, San Francisco, California, USA.",University of California]US
82,"Washington University School of Medicine, St. Louis, Missouri.",Washington University in St. Louis]US
83,"CorMedix Inc., Berkeley Heights, New Jersey.",Cormedix Inc]US
84,"University of Chicago Medicine, Chicago, Illinois, USA",University of Chicago]US
85,"Department of Obstetrics & Gynecology, University of Washington, Seattle, Washington.",University of Washington]US
86,"Center for Health Equity Research and Promotion, VA Pittsburgh Healthcare System, Pittsburgh, Pennsylvania.",VA Health Systems Research]US
87,"Division of Hematology and Oncology, Department of Medicine, Feinberg School of Medicine, Northwestern University, Evanston, Illinois.",Northwestern Univerisity]US
88,"Social Work Services, Fresenius Medical Care North America, Waltham, Massachusetts.",Fresenius Health]DE
89,"Department of Medicine, Penn Transplant Institute, University of Pennsylvania Health System, Philadelphia, Pennsylvania. Electronic address: mnh52@drexel.edu.",University of Pennsylvania]US
90,"Perelman School of Medicine at the University of Pennsylvania, Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Philadelphia, Pennsylvania.",University of Pennsylvania]US
91,"Division of Pediatric Nephrology, Boston Children's, Boston, Massachusetts.",Harvard University]US
92,"Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
93,"Biostatistics Program, Office of the Director, National Institute of Diabetes & Digestive & Kidney Diseases, Bethesda, Maryland.",National Institutes of Health]US
94,"Department of Internal Medicine, School of Medicine, University of New Mexico, Albuquerque, NM.",University of New Mexico]US
95,"Nephrology Division, Kidney Research Institute and Institute of Translational Health Sciences, University of Washington, Seattle, Washington.",University of Washington]US
96,"Division of Pharmacotherapy and Experimental Therapeutics, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",University of North Carolina]US
97,"Lundquist Institute at Harbor-UCLA Medical Center, Torrance, California.",University of California]US
98,"Health Services Research Center, Emory University School of Medicine, Atlanta, Georgia, USA. Electronic address: katie.ross@emory.edu.",Emory University]US
99,"Southwest Immunodiagnostics, Inc., San Antonio, Texas, USA.",Southwest Immunodiagnotistics Inc]US
100,"Department of Biomedical Informatics, Stony Brook University, Stony Brook, New York.",State University of New York]US
101,"Departments of Medicine, Epidemiology and Population Health, and Health Policy, Stanford University School of Medicine, Stanford, California.",Stanford University]US
102,"Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
103,"Department of Surgery, Transplant Institute, New York University Langone Health, New York, New York.",New York University]US
104,"Division of Hospital Medicine, Johns Hopkins Bayview Medical Center, Baltimore, Maryland, USA.",Johns Hopkins University]US
105,"University of Pittsburgh Medical Center, Children's Hospital Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
106,"Department of Medicine, Ochsner Health, New Orleans, LA.",Ochsner Health System]US
107,"Division of Nephrology and Hypertension, Weill Cornell College of Medicine, New York, New York.",Cornell University]US
108,"Department of Anesthesiology and Critical Care, University of Pennsylvania, Philadelphia, PA.",University of Pennsylvania]US
109,"Weill Cornell Medicine-New York Presbyterian Hospital, New York, NY.",Cornell University]US
110,"Medical Affairs, Satellite Healthcare, San Jose, California.",Satellite Healthcare]US
111,"Bloomberg Kimmel Institute for Cancer Immunotherapy, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.",Johns Hopkins University]US
112,"Departments of Medicine and Surgery, University of California San Francisco, San Francisco, California.",University of California]US
113,Minnesota Department of Health.,Minnesota Department of Health]US
114,"Department of Nutrition Sciences, Drexel University College of Nursing and Health Professions, Philadelphia, Pennsylvania.",Drexel University]US
115,"Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.",Indiana University]US
116,"Pediatric Nephrology Department, Children Healthcare of Atlanta, Emory University, Atlanta, Georgia, USA.",Emory University]US
117,"Departments of Medicine and Pediatrics, Divisions of Nephrology, University of California San Francisco, San Francisco, California.",University of California]US
118,"Department of Surgery, Massachusetts General Hospital, Boston, MA.",Harvard University]US
119,"U.S. Renal Care, Plano, Texas.",US Renal Care]US
120,"Division of Nephrology, Tufts Medical Center, Boston, Massachusetts. Electronic address: linker@tuftsmedicalcenter.org.",Tufts University]US
121,"Division of Nephrology, Department of Medicine, Columbia University Irving Medical Center, New York, New York, USA. Electronic address: gkd4@cumc.columbia.edu.",Columbia University]US
122,"Department of Psychiatry and Center for Technology and Behavioral Health, Geisel School of Medicine, Dartmouth College, Hanover, New Hampshire.",Dartmouth College]US
123,"Research on Ethics, Aging, and Community Health (REACH Lab), Medford, Massachusetts.",Tufts University]US
124,"Harvard Medical School, Boston, MA.",Harvard University]US
125,"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.",Johns Hopkins University]US
126,"Section of Nephrology, Department of Medicine, Boston Medical Center, School of Medicine, Boston University, Boston, Massachusetts.",Boston University]US
127,"Department of Medicine (Nephrology), Case Western Reserve University/University Hospitals Cleveland Medical Center, Cleveland, OH.",Case Western Reserve University]US
128,"Department of Pathology and Laboratory Medicine, Boston University Chobanian & Avedisian School of Medicine and Boston Medical Center, Boston, MA.",Boston University]US
129,"Nephrology Division, Department of Medicine, New York University Grossman School of Medicine, New York, New York.",New York University]US
130,"University of Colorado Anschutz Medical Center, Aurora, Colorado, USA.",University of Colorado]US
131,"Department of Biomedical Data Science, Stanford University School of Medicine, Stanford, California.",Stanford University]US
132,"Division of Nephrology and Hypertension , Department of Medicine , University of Minnesota, Minneapolis, Minnesota.",University of Minnesota]US
133,"Renal Physicians Association, Rockville, Maryland.",Renal Physicians Association]US
134,"Division of Nephrology, University of Texas Southwestern Medical Center, Dallas, Texas. Electronic address: Bethany.roehm@utsouthwestern.edu.",University of Texas]US
135,"Kidney Research Institute, Division of Nephrology, Department of Medicine, University of Washington, Seattle, WA.",University of Washington]US
136,"Division of Nephrology, Department of Internal Medicine, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
137,"Geriatric Research and Education Clinical Center, Palo Alto Veterans Affairs Health Care System, Palo Alto, California.",VA Health Systems Research]US
138,"University of Colorado Anschutz Medical Campus, Aurora, Colorado.",University of Colorado]US
139,"Division of Geriatric and Palliative Medicine, Department of Internal Medicine, University of Michigan Medical School, Ann Arbor, Michigan.",University of Michigan]US
140,"Department of Surgery,Mayo Clinic Rochester,Rochester,Minnesota,USA.",Mayo Clinic]US
141,"Division of Nephrology, Department of Medicine, University of Michigan.",University of Michigan]US
142,"Welch Center for Prevention, Epidemiology and Clinical Research, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
143,"Department of Pediatrics, University of Washington School of Medicine and Seattle Children's Hospital, Seattle, Washington.",University of Washington]US
144,"Herbert Wertheim School of Public Health and Human Longevity Science, University of California, San Diego, La Jolla, California.",University of California]US
145,"Department of Pathology and Laboratory Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.",University of California]US
146,"Department of Medicine, UWHealth Transplant Center, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin, USA.",University of Wisconsin]US
147,"Department of Surgery, Duke University Medical Center, Durham, North Carolina, USA.",Duke University]US
148,"Division of Cardiology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts.",Harvard University]US
149,"Department of Medical Education, Texas A&M University College of Medicine, Temple, Texas.",Texas A&M University]US
150,"Department of Medicine, Sarasota Memorial Hospital, Florida State University College of Medicine, Sarasota, Florida.",Florida State University]US
151,"Section of Transplantation, Department of Surgery, The University of Chicago, Chicago, Illinois, USA.",University of Chicago]US
152,"Department of Medicine, University of California San Francisco, San Francisco, CA.",University of California]US
153,"Department of Epidemiology and Biostatistics, University of California, San Francisco, San Francisco, California.",University of California]US
154,"Division of Cardiovascular Medicine, Department of Medicine, Indiana University, Indianapolis, Indiana, USA.",Indiana University]US
155,"Geriatrics Research Education and Clinical Care Service , Tennessee Valley Healthcare System VA, Nashville , Tennessee.",VA Health Systems Research]US
156,"ATK PharmaStrategies, LLC, Boston, Massachusetts.",ATK Inc]US
157,"Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, Nashville, Tennessee, USA.",Vanderbilt University]US
158,"Division of Pharmacoepidemiology, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, Massachusetts",Harvard University]US
159,"Division of Nephrology, Virginia Commonwealth University, Richmond, Virginia.",Virginia Commonwealth University]US
160,"Renal Service, Memorial Sloan Kettering Cancer Center, New York, New York.",Memorial Sloan Kettering]US
161,"Departments of Epidemiology, Biostatistics and Medicine, University of California-San Francisco, San Francisco, California",University of California]US
162,"Division of Critical Care Medicine, Montefiore Medical Center, Albert Einstein College of Medicine, Bronx, NY. Electronic address: ap3577@cumc.columbia.edu.",Albert Einstein College of Medicine]US
163,"Department of Epidemiology, Geisel School of Medicine at Dartmouth, Hanover, New Hampshire.",Dartmouth College]US
164,"Division of Nephrology, Saint Louis University School of Medicine, Saint Louis, Missouri.",Saint Louis University]US
165,"Denver Health, Denver, Colorado.",University of Colorado]US
166,"Scientific Registry of Transplant Recipients, Hennepin Healthcare Research Institute, Minneapolis, MN.",Scientific Registry of Transplant Recipients]US
167,"Arbor Research Collaborative for Health, Ann Arbor, Michigan",University of Michigan]US
168,"Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts, USA.",Harvard University]US
169,"Division of Cardiology, School of Medicine, Duke University, Durham, North Carolina.",Duke University]US
170,"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California.",University of California]US
171,"Department of Pharmacy, Barnes Jewish Hospital, St. Louis, MO.",Washington University]US
172,"Division of Kidney Diseases and Hypertension, George Washington University School of Medicine and Health Sciences, Washington, DC.",George Washington University]US
173,"College of Pharmacy, University of Tennessee Health Science Center, Memphis, Tennesse, USA.",University of Tennessee]US
174,"Department of Medicine, Emory University School of Medicine, Atlanta, Georgia, USA.",Emory University]US
175,"Division of Nephrology, Department of Pediatrics, University of Washington Seattle Children's Hospital, Seattle, Washington.",University of Washington]US
176,"Department of Medicine, Drexel University College of Medicine, Philadelphia, Pennsylvania.",Drexel University]US
177,"Department of Medicine, Division of Nephrology, University of Illinois at Chicago, Chicago, IL.",University of Illinois]US
178,"Schulze Diabetes Institute, Department of Surgery, University of Minnesota, Minneapolis, MN, USA.",University of Minnesota]US
179,"Institute of Clinical and Translational Research, Department of Medicine, Baylor College of Medicine, Houston, Texas",Baylor College of Medicine]US
180,"Department of Pharmacy, University of Utah Health, Salt Lake City, Utah.",University of Utah]US
181,"Piedmont Transplant Institute, Atlanta, Georgia.",Piedmont Transplant]US
182,"Children's of Alabama, Birmingham, Alabama, USA",University of Alabama]US
183,"Department of Biostatistics and Bioinformatics, Duke University, Durham, NC, USA",Duke University]US
184,"Kidney Health Research Institute, Danville, Pennsylvania",Geisinger Health]US
185,"Louis Stokes Cleveland Veterans Affairs Medical Center, Cleveland, University Hospitals Cleveland Medical Center and Case Western Reserve University, Cleveland, Ohio",Case Western Reserve University]US
186,"Section on Genetics and Epidemiology, Research Division, Joslin Diabetes Center, Boston, Massachusetts.",Harvard University]US
187,"Division of Cardiovascular Medicine, Stanford University School of Medicine, Palo Alto, California, USA.",Stanford University]US
188,"Division of Gastroenterology and Hepatology, Department of Medicine, University of California-San Francisco, San Francisco, California, USA.",University of California]US
189,"Department of Surgery, Columbia University Medical Center, New York, New York, USA.",Columbia University]US
190,"Internal Medicine/Nephrology and Hypertension, Henry Ford Hospital, Detroit, Michigan.",Henry Ford Health]US
191,"Division of Infectious Diseases, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
192,"Department of Medicine, University of Colorado Anschutz Campus, Denver, Colorado.",University of Colorado]US
193,"Renal-Electrolyte and Hypertension Division, Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania]US
194,"Kidney Research Institute and Division of Nephrology, University of Washington, Seattle, Washington. Electronic address: himmej@uw.edu.",University of Washington]US
195,"Departments of Surgery and Public Health, Pennsylvania State University College of Medicine, Hershey, Pennsylvania, USA. Electronic address: rlynch2@pennstatehealth.psu.",Pennsylvania State University]US
196,"Department of Pediatrics, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
197,"Center for Biomedical Informatics, Regenstrief Institute, Indianapolis, Indiana.",Regenstrief]US
198,"Pritzker School of Medicine, University of Chicago, Chicago, Illinois.",University of Chicago]US
199,"Applied Clinical Research Center, Children's Hospital of Philadelphia, Philadelphia, Pennsylvania.",University of Pennsylvania]US
200,"Northwestern University Feinberg School of Medicine, Chicago, Illinois.",Northwestern Univerisity]US
201,"Tulane University School of Medicine, New Orleans, Louisiana.",Tulane University]US
202,"Division of Cardiology, Department of Medicine, University of Illinois at Chicago, Chicago, Illinois.",University of Illinois]US
203,"Department of Family Medicine and Community Health, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA.",University of Pennsylvania]US
204,"Division of Gastroenterology, Department of Medicine, Loma Linda University Health, Loma Linda, CA.",Loma Linda University]US
205,"Cardiovascular Division, Brigham and Women's Hospital, Harvard Medical School, Boston, MA.",Harvard University]US
206,"Pulmonary and Critical Care Medicine, Johns Hopkins Hospital, Baltimore, Maryland, USA.",Johns Hopkins University]US
207,"Division of Medicine, Mayo Clinic, Scottsdale, Arizona, USA. Electronic address: budhiraja.pooja@mayo.edu.",Mayo Clinic]US
208,"Baylor College of Medicine Lung Institute, Houston, Texas, USA.",Baylor College of Medicine]US
209,"Division of Transplant Surgery and Transplant Surgery Research Laboratory, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA. Electronic address: stullius@bwh.harvard.edu.",Harvard University]US
210,"Division of Transplant Surgery, Department of Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA. Electronic address: stullius@bwh.harvard.edu.",Harvard University]US
211,"Laboratory of Virology, Division of Intramural Research, National Institute of Allergy and Infectious Diseases, National Institute of Health, Hamilton, Montana, USA.",National Institutes of Health]US
212,"Department of Surgery, State University of New York, New York, USA.",State University of New York]US
213,"Center for Liver Disease and Transplantation, Columbia University Medical Center, New York, NY.",Columbia University]US
214,"Department of Microbiology and Immunology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA",University of North Carolina]US
215,"Department of Pharmacy, Johns Hopkins Medicine, Baltimore, Maryland.",Johns Hopkins University]US
216,"Division of Nephrology, Department of Medicine, University of California at San Francisco, San Francisco",University of California]US
217,"Division of Infectious Diseases, Duke University School of Medicine, Durham, North Carolina, USA",Duke University]US
218,"Division of Kidney-Pancreas Transplantation, Department of Surgery, Miami Transplant Institute, University of Miami Miller School of Medicine, Miami, Florida, USA.",University of Miami]US
219,"Division of Gastroenterology and Hepatology, Department of Medicine, University of California-San Francisco, San Francisco, California, USA. Electronic address: jin.ge@ucsf.edu.",University of California]US
220,"Division of Vaccines and Related Products Applications, Office of Vaccines Research and Review, Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, Maryland.",Department of Health and Human Services]US
221,"Department of Cardiology, Cedars-Sinai Smidt Heart Institute, Los Angeles, California, USA.",University of California]US
222,"Laboratory of Infectious Diseases, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health]US
223,"Department of Surgery, Division of Transplantation, Feinberg School of Medicine, Northwestern University, Chicago, Illinois",Northwestern Univerisity]US
224,"Center for Applied Genomics and Department of Pediatrics, Perelman School of Medicine, Philadelphia, Pennsylvania.",University of Pennsylvania]US
225,"Department of Surgery, University of Florida, Gainesville, Florida, USA.",University of Florida]US
226,"Research on Ethics, Aging, and Community Health (REACH) Lab, Tufts University, Medford, Massachusetts",Tufts University]US
227,"Department of Medicine, University of California, San Francisco, San Francisco, CA.",University of California]US
228,"Biostatistics Research Center, Tufts Clinical and Translational Science Institute, Boston, Massachusetts.",Tufts University]US
229,"Office of Medical Policy, Center for Drug Evaluation and Research, Food and Drug Administration, Silver Spring, Maryland.",Department of Health and Human Services]US
230,"Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Center, Seattle, Washington, USA.",Fred Hutchinson]US
231,"Center for Transplantation Sciences, Massachusetts General Hospital, Boston, Massachusetts, USA. Electronic address: jmarkmann@partners.org.",Harvard University]US
232,"Division of Nephrology, Veterans Affairs Ann Arbor Health System, Ann Arbor, MI. Electronic address: nsukul@med.umich.edu.",University of Michigan]US
233,"Division of Nephrology, San Francisco VA Medical Center, San Francisco",VA Health Systems Research]US
234,"Department of Communication, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",University of Pittsburgh]US
235,"Department of Medicine, Division of Nephrology and Hypertension, Vanderbilt University Medical Center, Nashville, Tennessee",Vanderbilt University]US
236,"Laboratory of Transplantation Genomics, National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health, Bethesda, Maryland, USA",National Institutes of Health]US
237,"DaVita Inc, Regulatory Affairs, Denver, Colorado.",DaVita Inc]US
238,"Institutional Review Board and Clinical and Translational Science Institute, Wake Forest University School of Medicine, Winston-Salem, North Carolina.",Wake Forest University]US
239,"Division of Cardiovascular Medicine, Department of Medicine, University of Michigan, Ann Arbor, Michigan.",University of Michigan]US
240,"Department of Surgery, University of Wisconsin, Madison, Wisconsin.",University of Wisconsin]US
241,"Feinberg School of Medicine, Northwestern University, Chicago, Illinois.",Northwestern Univerisity]US
242,"Division of Pulmonary and Critical Care Medicine, Mayo Clinic, Rochester, MN.",Mayo Clinic]US
243,"Department of Medicine, University of Maryland School of Medicine, Baltimore, MD.",University of Maryland]US
244,"Department of Epidemiology, Bloomberg School of Public Health, School of Medicine, Johns Hopkins University, Baltimore, Maryland.",Johns Hopkins University]US
245,"Division of Nephrology, Department of Medicine, and Irving Medical Center, Columbia University, New York, and Montefiore Medical Center, Bronx, New York.",Albert Einstein College of Medicine]US
246,"Department of Medicine, University of Illinois College of Medicine at Chicago, Chicago, Illinois.",University of Illinois]US
247,"Feinstein Institute for Medical Research, Northwell Health, New York, New York.",Northwell Health]US
248,"Departments of Medicine, University of Washington School of Medicine, Seattle, Washington, USA",University of Washington]US
249,"Center for Transplantation, University of California San Diego Health, La Jolla, California, USA. Electronic address: alichvar@health.ucsd.edu.",University of California]US
250,"Department of Medicine, Division of Nephrology, The Ohio State University Wexner Medical Center, Columbus, Ohio.",Ohio State University]US
251,"Georgetown University School of Medicine, Washington, DC.",Georgetown University]US
252,"Baylor Simmons Transplant Institute, Dallas, Texas.",Baylor Scott & White Health]US
253,"Department of Medicine, Section of Rheumatology, University of Chicago, Chicago, Illinois, USA. Electronic address: malegre@midway.uchicago.edu.",University of Chicago]US
254,"Department of Surgery, Duke University, Durham, North Carolina, USA.",Duke University]US
255,"Kidneylink, U.S. Renal Care Plano, Texas, USA.",US Renal Care]US
256,"Center for Global Cardiometabolic Health, Departments of Epidemiology, Medicine, and Surgery, Brown University, Providence, Rhode Island.",Providence Health Inc]US
257,"Barbara T. Murphy Division of Nephrology, Department of Medicine, Icahn School of Medicine at Mount Sinai, New York, New York.",Mount Sinai]US
258,"Division of Nephrology-Hypertension, University of California San Diego, Veterans Affairs San Diego Healthcare System, San Diego, California.",VA Health Systems Research]US
259,"Puget Sound Kidney Centers, Everett, Washington.",Puget Sound Kidney Centers]US
