,Unnamed: 0,LOC_SET
23,"Department of Obstetrics, Gynecology and Reproductive Medicine, Hopital Foch, Suresnes, France.","{'France', 'Hopital Foch', 'Suresnes'}"
24,"Department of Internal Medicine, College of Medicine, Institute of Kidney Disease Research, Yonsei University, Seoul.",{'Seoul'}
25,"Department of Regenerative Medicine Research, Texas Heart Institute, Houston, TX.","{'TX', 'Houston'}"
26,"LIM 12, Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil.","{'Brazil', 'São Paulo'}"
27,"Department of Surgery, Division of Transplantation and Department of Microbiology and Immunology, University of Maryland School of Medicine, Baltimore, MD.","{'MD', 'Baltimore'}"
28,"Multi-Organ Transplant Program, Ajmera Transplant Center, University of Toronto, Toronto, ON, Canada.","{'Ajmera Transplant Center', 'ON', 'Canada', 'Toronto'}"
29,"Division of Nephrology, Department of Medicine, Columbia University, New York, New York.",{'New York'}
30,"Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, California, USA.","{'Department', 'USA', 'Cedars-Sinai Medical Center', 'Los Angeles', 'California', 'Medicine'}"
31,"Department Epidemiology and Biostatistics, University of California at San Francisco, San Francisco",{'San Francisco'}
32,"Division of Nephrology-Hypertension, University of California San Diego, San Diego, California.","{'California', 'San Diego'}"
33,"Université de Paris Cité, INSERM, PARCC, Paris Institute for Transplantation and Organ Regeneration, Paris, France.","{'France', 'Paris'}"
34,"Unit of Infectious Diseases, Division of General Pediatrics, Department of Pediatrics, Gynecology and Obstetrics, Geneva University Hospitals and University of Geneva, Geneva, Switzerland.","{'Geneva', 'Switzerland', 'va'}"
35,"Department of Pediatric Nephrology, Hôpital des Enfants, CHU Toulouse, Toulouse, France.","{'Hôpital des Enfants', 'France', 'Toulouse'}"
36,"Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven, Belgium.","{'Belgium', 'Leuven'}"
37,"Department of Inter-Organ Communication Research in Kidney Diseases, Osaka University Graduate School of Medicine, Suita, Osaka, Japan.","{'Suita', 'Japan', 'Osaka'}"
38,"INSERM U1151, service des explorations fonctionnelles hôpital Necker-Enfants Malades, DMU Biophygen, GHU Centre Université de Paris APHP. Paris, France.","{'France', 'Necker-Enfants Malades', 'Paris'}"
39,"Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Ranica, Italy.","{'Italy', 'Ranica'}"
40,"Department of Medicine, University of Alabama at Birmingham and VA Birmingham Health Care, Birmingham, Alabama.","{'Birmingham', 'Alabama'}"
41,"University of Alabama at Birmingham, Heersink School of Medicine, Birmingham, Alabama, USA.","{'Birmingham', 'Alabama', 'USA', 'Heersink School of Medicine'}"
42,"Clinical Research Academy, Peking University Shenzhen Hospital, Peking University, Shenzhen, China","{'Peking University Shenzhen Hospital', 'China', 'Shenzhen', 'Peking University'}"
43,"Ajmera Transplant Centre, University Health Network, Toronto, Ontario, Canada.","{'Canada', 'Ajmera', 'Ontario', 'Toronto', 'University'}"
44,"Division of Nephrology, Department of Medicine, Hamilton Health Sciences Centre, McMaster University, Hamilton, Ontario, Canada.","{'Ontario', 'Hamilton Health Sciences Centre', 'Hamilton', 'Canada'}"
45,"School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas.","{'Houston', 'Texas'}"
46,"Division of Transplantation, Department of Surgery, University of California, San Francisco, California, USA. Electronic address: qizhi.tang@ucsf.edu.","{'California', 'San Francisco', 'USA'}"
47,"The Liver Unit, King's College Hospital, London, United Kingdom.","{""King's College Hospital"", 'London', 'United Kingdom'}"
48,"Department of Immunology, Transplant Medicine and Internal Diseases, Medical University of Warsaw, Warsaw, Poland.","{'Poland', 'Warsaw'}"
49,"Department of Oncology, University of Alberta, Edmonton, Alberta, Canada.","{'Alberta', 'Edmonton', 'Canada'}"
50,"Division of Abdominal Transplantation, Department of Surgery and Perioperative Care, Dell Medical School at the University of Texas at Austin, Austin, Texas, USA.","{'Dell Medical School', 'Austin', 'USA', 'Texas'}"
51,"National Clinical Research Center for Kidney Disease, State Key Laboratory of Organ Failure Research, Nanfang Hospital, Southern Medical University. Electronic address: ffhouguangzhou@163.com.","{'zhou', 'Nanfang Hospital'}"
52,"Department of Infectious Diseases, Ramón y Cajal University Hospital, Madrid, Spain.","{'Madrid', 'Spain', 'Ramón y Cajal University Hospital'}"
53,"Life Sciences Institute, Zhejiang University, Hangzhou, People's Republic of China.","{""People's Republic of China"", 'Hangzhou'}"
54,"Department of Nephrology, CH Pontoise, Pontoise, France.","{'Pontoise', 'CH Pontoise', 'France'}"
55,"Institute of Medical Immunology, Virchow - Klinikum, Berlin, Germany. Electronic address: birgit.sawitzki@bih-charite.de.","{'Klinikum', 'Germany', 'Berlin', 'Virchow'}"
56,"Department of Internal Medicine, Boramae Medical Center, Seoul, Korea","{'Boramae Medical Center', 'Seoul', 'Korea'}"
57,"Division of Cardiovascular Disease, University of Alabama-Birmingham, Birmingham, Alabama.","{'Birmingham', 'Alabama'}"
58,"Research Institute, Ottawa Hospital, Ottawa, Ontario, Canada.","{'Ontario', 'Ottawa', 'Canada', 'Ottawa Hospital'}"
59,"Department of Nephrology, Hôpital Européen Georges Pompidou, Assistance Publique-Hôpitaux de Paris, Paris.","{'-Hôpitaux de Paris', 'Assist', 'Paris', 'Hôpital Européen Georges Pompidou'}"
60,"Department of Internal Medicine, Division of Nephrology and Transplantation, Erasmus Medical Center, Rotterdam, The Netherlands.","{'The Netherlands', 'Erasmus Medical Center', 'Rotterdam'}"
61,"Department of Urology, and Kangbuk Samsung Hospital, School of Medicine, Sungkyunkwan University, Seoul, South Korea.","{'School', 'Seoul', 'Kangbuk Samsung Hospital', 'South Korea'}"
62,"Department of Hepatobiliary and Liver Transplant Surgery, St. James's University Hospital, Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom.","{'Leeds', ""St. James's University Hospital"", 'United Kingdom'}"
63,"Department of Nephrology, Limoges University hospital",set()
64,"Clinical and Diagnostic Immunology, Department of Microbiology, Immunology and Transplantation, KU Leuven, Leuven",{'Leuven'}
65,"Division of General Internal Medicine, School of Medicine, Duke University, Durham, North Carolina","{'North Carolina', 'Durham'}"
66,"Department of Medicine, Division of Hematology, University of Ottawa, Ottawa, Ontario, Canada.","{'Ontario', 'Ottawa', 'Canada'}"
67,"Nuffield Department of Surgical Sciences, University of Oxford, Oxford, United Kingdom.","{'United Kingdom', 'Oxford'}"
68,"Department of Nephrology and Transplantation, University Hospital, Strasbourg.","{'University Hospital', 'Strasbourg'}"
69,"Thoracic Intensive Care Unit, Foch Hospital, Suresnes, France.","{'France', 'Suresnes', 'Foch Hospital', 'Thor'}"
70,"Department of Urology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, Shandong, China.","{'Shandong', 'Shandong Provincial Hospital', 'China', 'Jinan'}"
71,"GlaxoSmithKline, Collegeville, PA.","{'Collegeville', 'PA'}"
72,"Institute of Pathology, Nephropathology Section, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.","{'Hamburg-Eppendorf', 'Germany', 'Hamburg'}"
73,"Department of Critical Care Medicine, Sunnybrook Health Sciences Center, University of Toronto, Toronto, Ontario, Canada.","{'Ontario', 'Sunnybrook Health Sciences Center', 'Canada', 'Toronto'}"
74,"Department of Surgery, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina, USA.","{'North Carolina', 'Forest', 'Winston-Salem', 'USA'}"
75,"Department of Clinical Chemistry, CIRM, CHU de Liège, University of Liège, Liège, Belgium.","{'Belgium', 'Liège'}"
76,"Department of Nephrology, Charité Universitätsmedizin Berlin, Berlin, Germany.","{'Germany', 'Berlin'}"
77,"Pediatric Nephrology Institute, Rambam Health Care Campus, Haifa, Israel.","{'Israel', 'Rambam Health Care Campus', 'Haifa'}"
78,"Division of Nephrology, University of California San Francisco, San Francisco, California.","{'California', 'San Francisco'}"
79,"Division of Nephrology and Transplant, Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana, USA.","{'Indiana', 'Indianapolis', 'USA'}"
80,"Division of Thoracic Surgery, Department of Surgery, University of Toronto, Toronto, Ontario, Canada","{'Ontario', 'Canada', 'Toronto'}"
81,"Department of Quantitative Health Sciences, Mayo Clinic, Jacksonville, FL.","{'Jacksonville', 'FL'}"
82,"Department of Surgery and Emory Transplant Center, Emory University, Atlanta, Georgia, USA.","{'Atlanta', 'Georgia', 'USA'}"
83,"Department of Surgery and Transplantation, Virgen de la Arrixaca University Hospital, Murcia, Spain.","{'Murcia', 'Virgen de la Arrixaca University Hospital', 'Spain'}"
84,"Department of Urology, Columbia University Irving Medical Center, New York, New York.","{'Columbia University Irving Medical Center', 'New York'}"
85,"Specialist Haemostasis Laboratory, Cambridge University Hospitals National Health Service Trust, Cambridge, United Kingdom.","{'Cambridge', 'United Kingdom'}"
86,"Department of Cardiology , Texas Heart Institute , Houston , Texas.","{'Houston', 'Texas'}"
87,"Thomas E. Starzl Transplant Institute, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.","{'Pittsburgh', 'Pennsylvania', 'USA'}"
88,"Department of Medicine (Nephrology), Stanford University, Palo Alto, California.","{'California', 'Palo Alto'}"
89,"Department of Rheumatology and Immunology, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.","{'Changsha', 'Hunan', 'China', 'Second Xiangya Hospital'}"
90,"Department of Oncology, the First Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China. Electronic address: 554813360@qq.com.","{'Chongqing', 'Hospital', ""People's Republic of China""}"
91,"Department of Systems Biology and Columbia Genome Center, Columbia University, New York, New York.",{'New York'}
92,"Princess Alexandra Hospital, Woolloongabba.","{'Princess Alexandra Hospital', 'Woolloongabba.'}"
93,"Concord Repatriation General Hospital, Concord, Australia.","{'Australia', 'Concord Repatriation General Hospital', 'Concord'}"
94,"Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.","{'Southwestern Medical Center', 'Dallas', 'Texas'}"
95,Paris University,set()
96,"Division of Nephrology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD. Electronic address: chirag.parikh@jhmi.edu.","{'Baltimore', 'MD', 'Medicine'}"
97,"Division of Nephrology, Department of Medicine, Duke University, Durham, North Carolina","{'North Carolina', 'Durham'}"
98,"Department of Dermatology, Ninewells Hospital and Medical School, Dundee, United Kingdom.","{'United Kingdom', 'Dundee', 'Ninewells Hospital and Medical School'}"
99,"Division of General Internal Medicine and Hospital Medicine, University of Colorado, Anschutz Medical Campus, Aurora, Colorado.","{'Colorado', 'Aurora', 'Anschutz Medical Campus'}"
100,"Glickman Urology and Kidney and Lerner Research Institutes , Cleveland Clinic , and Departments of Molecular Medicine and Physiology and Biophysics , Case Western Reserve University, Cleveland , Ohio.","{'Cleveland', 'Ohio'}"
101,"Starzl Transplantation Institute, Department of Surgery and Department of Immunology, University of Pittsburgh School of Medicine, Pittsburgh, PA.","{'Pittsburgh', 'PA'}"
102,"Department of Pediatric Nephrology, Hôpital Trousseau, Paris, France.","{'France', 'Hôpital Trousseau', 'Paris'}"
103,"Division of Nephrology and Hypertension, Mayo Clinic, Rochester, MN.","{'MN', 'Rochester'}"
104,"Division of Nephrology, Department of Medicine, Department of Veterans Affairs Medical Center, University of Alabama at Birmingham, Birmingham, Alabama.","{'Department of Veterans Affairs Medical Center', 'Birmingham', 'Alabama', 'Medicine'}"
105,"Division of Vascular Surgery and Endovascular Therapy, University of Florida, Gainesville, Florida.","{'Gainesville', 'Florida'}"
106,"Imperial College Renal and Transplant Centre, Hammersmith Hospital, Imperial College Healthcare NHS Trust, London, United Kingdom.","{'United Kingdom', 'London', 'Hammersmith Hospital'}"
107,"Medical School, University of Western Australia, Perth, Western Australia, Australia","{'Australia', 'Western Australia', 'Perth'}"
108,"Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN.","{'Minneapolis', 'MN'}"
109,"Center for Transplantation Sciences, Department of Surgery, Massachusetts General Hospital/Harvard Medical School, Boston, Massachusetts, USA. Electronic address: dkcooper@mgh.harvard.edu.","{'Boston', 'Massachusetts General Hospital/Harvard Medical School', 'Massachusetts', 'USA'}"
110,"Department of Public Health Sciences, Penn State College of Medicine, Hershey, Pennsylvania.","{'Pennsylvania', 'Hershey'}"
111,"Biotechnology and Methods in Laboratory Medicine, University of Bologna, Bologna.",{'Bologna'}
112,"Sherrie and Alan Conover Center for Liver Disease and Transplantation, Houston Methodist Hospital, Houston, TX.","{'TX', 'Houston', 'and', 'Houston Methodist Hospital'}"
113,"Department of Quantitative Health Sciences, Cleveland Clinic, Cleveland, Ohio, USA.","{'Cleveland', 'Ohio', 'USA'}"
114,"Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.","{'Maryland', 'USA.', 'Baltimore'}"
115,"Division of Immunology and Allergy, Department of Paediatrics, the Hospital for Sick Children, Toronto, Ontario, Canada.","{'Ontario', 'Hospital for Sick Children', 'Canada', 'Toronto'}"
116,"Department of Nephrology, Guy's St Thomas Hospital, London, United Kingdom.","{'London', ""Guy's St Thomas Hospital"", 'United Kingdom'}"
117,"Veterans Affairs San Diego Healthcare System, San Diego, CA.","{'CA', 'San Diego'}"
118,"Department of Medical Epidemiology and Biostatistics, Karolinska Institute, Stockholm, Sweden.","{'Sweden', 'Stockholm'}"
119,"Division of Gastroenterology and Hepatology, University of California, San Francisco, California, USA.","{'California', 'San Francisco', 'USA'}"
120,"Liver Unit, Birmingham Women's and Children's Hospital, Birmingham, United Kingdom.","{'Birmingham', ""Birmingham Women's and Children's Hospital"", 'United Kingdom'}"
121,"Global Medical Office, FMC Germany, Bad Homburg, Germany.","{'Bad Homburg', 'Germany'}"
122,"Institute of Health Policy, Management, and Evaluation, University of Toronto, Toronto, Ontario, Canada","{'Ontario', 'Canada', 'Toronto'}"
123,"School of Exercise and Nutrition Sciences, Queensland University of Technology, Brisbane, Australia","{'Brisbane', 'Australia'}"
124,"Section of Endocrinology, Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut.","{'Connecticut', 'New Haven'}"
125,"Division of Nephrology, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan.","{'Michigan', 'Ann Arbor'}"
126,"Department of Medicine, Houston Methodist Hospital, Houston, Texas.","{'Houston', 'Texas', 'Houston Methodist Hospital'}"
127,"UT Southwestern Medical Center, Dallas, Texas, USA.","{'Southwestern Medical Center', 'USA', 'Dallas', 'Texas'}"
128,"Division of Renal Pathology, Department of Pathology, The Johns Hopkins University School of Medicine, Baltimore, Maryland.","{'Maryland', 'Baltimore', 'Medicine'}"
129,"Department of Medicine, New York University Grossman School of Medicine, New York, New York.","{'New York', 'Grossman School of Medicine'}"
130,"Department of Nephrology and Rheumatology, University Medical Center Göttingen, Germany.",{'Germany'}
131,"Department of Medicine, University of California San Francisco at the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital, San Francisco, CA","{'CA', 'Pris', 'San Francisco', 'and Mark Zuckerberg San Francisco General Hospital'}"
132,"Department of Infectious Diseases, Hospital Clinic - IDIBAPS, University of Barcelona, Barcelona, Spain.","{'Barcelona', 'Spain'}"
133,"Cumming School of Medicine , University of Calgary , Calgary, Canada, and.","{'Canada', 'Calgary'}"
134,"Department of General Internal Medicine, Medical Intensive Care Unit, UZ Leuven, Leuven, Belgium.","{'Belgium', 'Leuven'}"
135,"Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA","{'Chapel Hill', 'Lineberger Comprehen', 'USA', 'North Carolina', 'Cancer Center'}"
136,"Department of Epidemiology, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.","{'Trop', 'LA', 'New Orleans'}"
137,"Department of Surgery, Duke Transplant Center, Duke University School of Medicine, Duke Clinical Research Institute, Durham, North Carolina, USA. Electronic address: stuart.knechtle@duke.edu.","{'North Carolina', 'Durham', 'USA'}"
138,"UNC Blood Research Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina","{'North Carolina', 'Chapel Hill'}"
139,"Liver Transplant Center, the First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China","{'China', 'Hangzhou'}"
140,"Department of Immunology, Genetics and Pathology, Section of Clinical Immunology, Uppsala University, Sweden. Electronic address: david.berglund@itb-med.com.",{'Sweden'}
141,"LIM 03, Division of Clinical Pathology, University of São Paulo Medical School, São Paulo, Brazil.","{'Brazil', 'São Paulo'}"
142,"Department of Pathology, UZ Leuven, Leuven, Belgium.","{'Belgium', 'Leuven'}"
143,"Department of Family Medicine, La Maestra Community Health Centers, San Diego, California.","{'San Diego', 'California', 'La Maestra'}"
144,"Travere Therapeutics, Inc., San Diego, California.","{'California', 'San Diego'}"
145,"Service de Néphrologie et Immunologie Clinique, CHU Nantes, Nantes, France.","{'Nantes', 'France'}"
146,"The Rogosin Institute, New York, New York.",{'New York'}
147,"Department of Medicine, King Khalid University Hospital, Riyadh, Saudi Arabia","{'Riyadh', 'Saudi Arabia', 'King Khalid University Hospital'}"
148,"Department of Medicine, University of Nebraska Medical Center, Omaha, Nebraska, USA.","{'USA', 'Omaha', 'Nebraska Medical Center', 'Nebraska'}"
149,"Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD.","{'s Hopkins University School of Medicine', 'MD', 'Baltimore'}"
150,"Microbiology Department, La Paz University Hospital Institute for Health Research (IdiPAZ), CIBERINFEC, Carlos III Health Institute, Madrid, Spain.","{'Carlos III Health Institute', 'Paz', 'Spain', 'Madrid'}"
151,"University of Utah Health and VA Salt Lake City Health Care System, Salt Lake City, Utah.","{'Salt Lake City Health Care System', 'Salt Lake City', 'Utah'}"
152,"Department of Dermatology, Medical University of Vienna, Vienna, Austria.","{'Vienna', 'Austria'}"
153,"Aliasghar Children's Hospital, Department of Pediatrics, School of Medicine, Iran University of Medical Sciences, Tehran, Iran.","{""Aliasghar Children's Hospital"", 'Iran', 'Tehran'}"
154,"UK Renal Registry, The UK Kidney Association, Bristol, United Kingdom.","{'Bristol', 'United Kingdom'}"
155,"MRC Population Health Research Unit, Clinical Trial Service Unit and Epidemiological Studies Unit, University of Oxford, Oxford, United Kingdom.","{'United Kingdom', 'Oxford'}"
156,"Department of Surgery, Seoul National University Hospital and Seoul National University College of Medicine, Seoul, South Korea.","{'Seoul', 'South Korea', 'Seoul National University Hospital'}"
157,"Department of Physiology and Pathophysiology, School of Basic Medical Sciences, Peking University, Key Laboratory of Molecular Cardiovascular Science, Ministry of Education, Beijing, China.","{'Beijing', 'China'}"
158,"Department of Pediatric Nephrology, CHU Besançon, Besançon, France.","{'France', 'Besançon'}"
159,"Division of Precision Medicine, Department of Medicine, New York University Grossman School of Medicine, New York, New York.","{'New York', 'Medicine'}"
160,"Center for Drug Safety and Effectiveness, Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.","{'Maryland', 'Baltimore'}"
161,"Department of Pediatrics, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania.","{'Philadelphia', 'Pennsylvania', 'Perelman School of Medicine'}"
162,"Department of Medicine, Division of Transplant Infectious Disease, Ajmera Transplant Centre, Toronto, ON, Canada.","{'Ajmera Transplant Centre', 'ON', 'Canada', 'Toronto'}"
163,"Department of Medical Sciences, Clinical Chemistry, Uppsala University, Uppsala, Sweden.","{'Sweden', 'Uppsala'}"
164,"Division of Pediatric Nephrology, Shaare Zedek Medical Center and Faculty of Medicine, Hebrew University of Jerusalem, Jerusalem, Israel.","{'Jerusalem', 'Shaare Zedek Medical Center', 'Israel'}"
165,"Division of Infectious Diseases, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.","{'Boston', 'Massachusetts', 'USA', 'Beth Israel Deaconess Medical Center'}"
166,"Department of Physiology and Pathophysiology, Fudan University School of Basic Medical Sciences, Shanghai, China.","{'China', 'Shanghai'}"
167,"Henry Ford Hospital, Detroit, Michigan, USA.","{'Michigan', 'Henry Ford Hospital', 'USA', 'Detroit'}"
168,"Department of Medicine, University of California, Los Angeles, California.","{'California', 'Los Angeles'}"
169,"Guangzhou National Laboratory, Guangzhou, Guangdong 510005, China.","{'Guangzhou', 'China', 'Guangdong'}"
170,"The National Centre for Infections in Cancer, Peter MacCallum Cancer Centre, Parkville, Victoria, Australia.","{'Parkville', 'Victoria', 'Australia', 'Peter MacCallum Cancer Centre'}"
171,"Renal Division, Peking University First Hospital, Peking University Institute of Nephrology, Beijing, China.","{'Beijing', 'China', 'Peking University First Hospital'}"
172,"Department of Pediatrics, Riley Hospital for Children at Indiana University Health, Indianapolis, Indiana.","{'Indiana University Health', 'Indiana', 'Indianapolis', 'Riley Hospital for Children'}"
173,"Department of Family Medicine and Public Health, UC San Diego, La Jolla, CA.","{'CA', 'La Jolla'}"
174,"Department of Medicine and Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.","{'Philadelphia', 'Pennsylvania', 'Perelman School of Medicine'}"
175,"University of Toronto, Toronto, Ontario, Canada","{'Ontario', 'Canada', 'Toronto'}"
176,"Department of Pediatrics, Division of Pediatric Nephrology, Masonic Children's Hospital, University of Minnesota, Minneapolis, Minnesota.","{'Minneapolis', ""Masonic Children's Hospital"", 'Minnesota'}"
177,"Department of Laboratory Medicine, Kangbuk Samsung Hospital, School of Medicine, Sungkyunkwan University, Seoul, South Korea.","{'Seoul', 'Kangbuk Samsung Hospital', 'South Korea'}"
178,"Department of Surgery,College of Medicine,University of Florida, Gainesville,Florida,USA.","{'USA.', 'Gainesville', 'Florida'}"
179,"Dialysis Unit, Assuta Hospital, Haifa, Israel.","{'Assuta Hospital', 'Israel', 'Haifa'}"
180,"Regenerative Medicine Institute (REMEDI) at CÚRAM SFI Research Centre for Medical Devices, School of Medicine, University of Galway, Galway, Ireland.","{'Ireland', 'Galway'}"
181,"Transplant Branch, Division of Allergy, Immunology and Transplantation, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Rockville, Maryland.","{'Maryland', 'Rockville'}"
182,"Clinical and Biomedical Proteomics Group, Leeds Institute of Medical Research, University of Leeds, Leeds, United Kingdom.","{'Leeds', 'United Kingdom'}"
183,"Program in Health Services and Systems Research, Duke-NUS Medical School, Singapore, Singapore.",{'Singapore'}
184,"Division of Nephrology, Department of Medicine, McMaster University, Hamilton, Ontario, Canada.","{'Ontario', 'Hamilton', 'Canada'}"
185,"Division of Nephrology and Hypertension, University of North Carolina, Chapel Hill, North Carolina.","{'North Carolina', 'Chapel Hill'}"
186,"Institute of Medical Science, University of Toronto, Toronto, Ontario, Canada. Electronic address: shaf.keshavjee@uhn.ca.","{'Ontario', 'Canada', 'Toronto'}"
187,"Department of Nephrology, CHU Brugmann, Bruxelles, Belgium.","{'Bruxelles', 'Belgium'}"
188,"Kolling Institute, Royal North Shore Hospital University of Sydney, Sydney, New South Wales, Australia.","{'New South Wales', 'Royal North Shore Hospital', 'Australia', 'Sydney'}"
189,"INSERM, PARCC, Paris Institute for Transplantation and Organ Regeneration, Université de Paris Cité, Paris, France.","{'France', 'Paris'}"
190,"Department of Renal Medicine, St George Hospital, Kogarah, Australia","{'Kogarah', 'St George Hospital', 'Australia'}"
191,"Colorado Center for Transplantation Care, Research and Education, Aurora, Colorado, USA.","{'Colorado', 'Aurora', 'USA'}"
192,"Department of Gastroenterology, Heidelberg University Hospital, Heidelberg, Germany.","{'Germany', 'Heidelberg University Hospital', 'Heidelberg'}"
193,"Department of Clinical Pharmacy and Pharmacology, University of Groningen, University Medical Center Groningen, Groningen, The Netherlands.","{'University Medical Center Groningen', 'The Netherlands', 'Groningen'}"
194,"Division of Nephrology, Department of Medicine, School of Medicine, Stanford University, Stanford. Electronic address: mstedman@stanford.edu.",{'Stanford'}
195,"NYU Health Sciences Library, NYU Grossman School of Medicine, NYU Langone Health, New York, New York.",{'New York'}
196,"Division of Nephrology, Department of Medicine, University of California, San Francisco, California, USA.","{'California', 'San Francisco', 'USA'}"
197,"Washington University School of Medicine, St. Louis, Missouri.","{'Missouri', 'St. Louis'}"
198,"CorMedix Inc., Berkeley Heights, New Jersey.","{'New Jersey', 'Berkeley Heights'}"
199,"Pharmacovigilance Center, Department of Clinical Pharmacology, Amiens-Picardie University Medical Center, Amiens.","{'Amiens-Picardie University Medical Center', 'Amiens'}"
200,"Department of Laboratory Medicine, University of Groningen, University Medical Center Groningen, Groningen, the Netherlands.","{'University Medical Center Groningen', 'Groningen', 'Netherlands'}"
201,"University of Chicago Medicine, Chicago, Illinois, USA","{'Illinois', 'USA', 'Chicago'}"
